DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0032415
Formation Factor (ratio)                52.0858021
Cementation Factor (ratio)              2.1969354
pore density (1/um3)                    0.0018001
Tortuosity (ratio)                      1.5316248
Average Coordination Number             2.8929842
Average Throat Radius (um)              1.5168579
Average Pore Radius (um)                2.220083
Average Throat Length (um)              7.0316852
Pore to Throat Aspect ratio             4.1297497
Specific Surface (1/um)                 0.0001348
Pore Sphericity (ratio)                 2.9968744
Grain Sphericity (ratio)                0.7715972
Average Grain Radius (um)               4.4513691
Relative Young Module (ratio)           0.3365493

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.0618352
0.02                                    1.0241675
0.03                                    0.8266489
0.04                                    0.9031452
0.05                                    0.9090798
0.06                                    1.0175729
0.07                                    0.9372729
0.08                                    0.9551988
0.09                                    0.9605241
0.1                                     0.9882691
0.11                                    0.8588431
0.12                                    0.8371684
0.13                                    0.9978729
0.14                                    0.9507522
0.15                                    0.9531785
0.16                                    0.9678903
0.17                                    0.9281906
0.18                                    0.9289844
0.19                                    0.8858959
0.2                                     0.8337109
0.21                                    0.8555915
0.22                                    0.9724181
0.23                                    1.0040069
0.24                                    0.9231309
0.25                                    0.905799
0.26                                    0.8084812
0.27                                    0.7846045
0.28                                    0.9764103
0.29                                    0.8303561
0.3                                     0.9332533
0.31                                    0.8926718
0.32                                    0.9004402
0.33                                    0.8680359
0.34                                    0.9961972
0.35                                    0.8538655
0.36                                    0.9700904
0.37                                    0.9791789
0.38                                    0.9073043
0.39                                    0.8335875
0.4                                     0.9090726
0.41                                    0.7796278
0.42                                    0.907954
0.43                                    0.9289675
0.44                                    0.833859
0.45                                    0.9981473
0.46                                    0.8349163
0.47                                    1.120187
0.48                                    0.785349
0.49                                    0.8824611
0.5                                     1.0554861
0.51                                    0.746913
0.52                                    0.7154462
0.53                                    0.9382126
0.54                                    0.8578047
0.55                                    0.8597085
0.56                                    0.8707278
0.57                                    0.772035
0.58                                    0.7461617
0.59                                    0.9100595
0.6                                     0.8517863
