DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.036572
Formation Factor (ratio)                16.4133222
Cementation Factor (ratio)              2.2726585
pore density (1/um3)                    0.0014611
Tortuosity (ratio)                      1.4491419
Average Coordination Number             3.4506179
Average Throat Radius (um)              2.0585554
Average Pore Radius (um)                2.831836
Average Throat Length (um)              8.2094629
Pore to Throat Aspect ratio             6.1908907
Specific Surface (1/um)                 0.0001928
Pore Sphericity (ratio)                 4.1780777
Grain Sphericity (ratio)                0.771742
Average Grain Radius (um)               4.1037353
Relative Young Module (ratio)           0.2077544

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.0769456
0.02                                    1.970845
0.03                                    1.816754
0.04                                    1.5811886
0.05                                    1.6627364
0.06                                    1.671946
0.07                                    1.4986865
0.08                                    1.6573317
0.09                                    1.4977442
0.1                                     1.6087677
0.11                                    1.6084742
0.12                                    1.3026782
0.13                                    1.6599199
0.14                                    1.6422778
0.15                                    1.6521415
0.16                                    1.4244882
0.17                                    1.516111
0.18                                    1.3815575
0.19                                    1.3676911
0.2                                     1.3409358
0.21                                    1.5181562
0.22                                    1.4253989
0.23                                    1.3505001
0.24                                    1.4532684
0.25                                    1.3523548
0.26                                    1.3002937
0.27                                    1.5006451
0.28                                    1.3831688
0.29                                    1.3045658
0.3                                     1.319647
0.31                                    1.4058936
0.32                                    1.5127487
0.33                                    1.2174872
0.34                                    1.42955
0.35                                    1.4141436
0.36                                    1.4783041
0.37                                    1.4862824
0.38                                    1.3819596
0.39                                    1.2637743
0.4                                     1.4587399
0.41                                    1.3738589
0.42                                    1.4016003
0.43                                    1.3095912
0.44                                    1.4710921
0.45                                    1.2367158
0.46                                    1.5223434
0.47                                    1.3659183
0.48                                    1.3080982
0.49                                    1.4012104
0.5                                     1.249644
0.51                                    1.3441757
0.52                                    1.2824207
0.53                                    1.404485
0.54                                    1.3460547
0.55                                    1.407488
0.56                                    1.2157454
0.57                                    1.2615007
0.58                                    1.2757396
0.59                                    1.4582893
0.6                                     1.3298708
0.61                                    1.2616107
0.62                                    1.2224418
0.63                                    1.3251901
0.64                                    1.2832091
0.65                                    1.2673148
0.66                                    1.3366681
0.67                                    1.4029908
0.68                                    1.4601797
0.69                                    1.2849085
0.7                                     1.4085744
0.71                                    1.1981372
0.72                                    1.3592354
0.73                                    1.2430683
0.74                                    1.2364381
0.75                                    1.1732344
0.76                                    1.2270055
0.77                                    1.1666827
0.78                                    1.2754108
0.79                                    1.3181005
0.8                                     1.2407594
0.81                                    1.3396535
0.82                                    1.3034474
0.83                                    1.3434626
0.84                                    1.2565927
0.85                                    1.3378515
0.86                                    1.2360122
0.87                                    1.0751723
0.88                                    1.1585721
0.89                                    1.291231
0.9                                     1.383603
0.91                                    1.2284044
0.92                                    1.0628288
0.93                                    1.1957278
0.94                                    1.2013255
0.95                                    1.2629416
0.96                                    1.1664764
0.97                                    1.0984586
0.98                                    1.1005898
0.99                                    0.9895533
1.0                                     0.7651382


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0265564
0.02                                    0.0247759
0.03                                    0.0282651
0.04                                    0.0207082
0.05                                    0.0237323
0.06                                    0.0242397
0.07                                    0.0232009
0.08                                    0.0299942
0.09                                    0.0246531
0.1                                     0.0237323
0.11                                    0.0219839
0.12                                    0.0261168
0.13                                    0.0280429
0.14                                    0.0277831
0.15                                    0.0274561
0.16                                    0.0261653
0.17                                    0.026636
0.18                                    0.0349555
0.19                                    0.0265965
0.2                                     0.0295052
0.21                                    0.0285076
0.22                                    0.0226163
0.23                                    0.0281739
0.24                                    0.0432069
0.25                                    0.0475529
0.26                                    0.0440941
0.27                                    0.0392702
0.28                                    0.050536
0.29                                    0.0606871
0.3                                     0.0659866
0.31                                    0.0720366
0.32                                    0.0891087
0.33                                    0.0683849
0.34                                    0.0637871
0.35                                    0.0756037
0.36                                    0.0885392
0.37                                    0.0872343
0.38                                    0.0926015
0.39                                    0.1022806
0.4                                     0.1008027
0.41                                    0.1154544
0.42                                    0.1048553
0.43                                    0.1398056
0.44                                    0.1269902
0.45                                    0.1316286
0.46                                    0.1504339
0.47                                    0.1295184
0.48                                    0.1578712
0.49                                    0.1511293
0.5                                     0.1744289
0.51                                    0.1848343
0.52                                    0.173971
0.53                                    0.1847175
0.54                                    0.1972135
0.55                                    0.2124492
0.56                                    0.2012133
0.57                                    0.2190359
0.58                                    0.2417056
0.59                                    0.2272689
0.6                                     0.2264556
0.61                                    0.2582867
0.62                                    0.2390851
0.63                                    0.2331386
0.64                                    0.2535143
0.65                                    0.2769741
0.66                                    0.2738836
0.67                                    0.2905372
0.68                                    0.2833949
0.69                                    0.2769913
0.7                                     0.3271556
0.71                                    0.2996933
0.72                                    0.2967889
0.73                                    0.33455
0.74                                    0.3227307
0.75                                    0.3079933
0.76                                    0.3412757
0.77                                    0.3354569
0.78                                    0.3547214
0.79                                    0.3252466
0.8                                     0.3568466
0.81                                    0.3736974
0.82                                    0.3320029
0.83                                    0.3694027
0.84                                    0.3468
0.85                                    0.3685507
0.86                                    0.4198951
0.87                                    0.4168656
0.88                                    0.447382
0.89                                    0.4528903
0.9                                     0.4661019
0.91                                    0.4802694
0.92                                    0.5123261
0.93                                    0.5203159
0.94                                    0.5407053
0.95                                    0.5584373
0.96                                    0.588164
0.97                                    0.5993094
0.98                                    0.6431885
0.99                                    0.656134
1.0                                     0.9774694


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9712254
0.02                                    0.94054
0.03                                    0.939477
0.04                                    0.8927729
0.05                                    0.9029461
0.06                                    0.8579801
0.07                                    0.8639462
0.08                                    0.8317778
0.09                                    0.7959407
0.1                                     0.8226023
0.11                                    0.7657087
0.12                                    0.757228
0.13                                    0.7771181
0.14                                    0.7508155
0.15                                    0.7447469
0.16                                    0.7120709
0.17                                    0.7216557
0.18                                    0.7215917
0.19                                    0.6783735
0.2                                     0.6838971
0.21                                    0.6821302
0.22                                    0.6609496
0.23                                    0.6690812
0.24                                    0.6637974
0.25                                    0.6257327
0.26                                    0.6197569
0.27                                    0.6168829
0.28                                    0.5931057
0.29                                    0.5992267
0.3                                     0.6018113
0.31                                    0.578693
0.32                                    0.580293
0.33                                    0.5462309
0.34                                    0.5903105
0.35                                    0.5675513
0.36                                    0.5536916
0.37                                    0.5868541
0.38                                    0.5678052
0.39                                    0.5630208
0.4                                     0.5763489
0.41                                    0.5675212
0.42                                    0.555038
0.43                                    0.5279265
0.44                                    0.5537277
0.45                                    0.5213118
0.46                                    0.4987755
0.47                                    0.5051771
0.48                                    0.4819982
0.49                                    0.4983203
0.5                                     0.4876935
0.51                                    0.4855281
0.52                                    0.4501954
0.53                                    0.4339978
0.54                                    0.4344032
0.55                                    0.4222257
0.56                                    0.4309973
0.57                                    0.4368809
0.58                                    0.4413209
0.59                                    0.426528
0.6                                     0.4289419
0.61                                    0.4488382
0.62                                    0.4183368
0.63                                    0.3867116
0.64                                    0.4217015
0.65                                    0.4194947
0.66                                    0.3835369
0.67                                    0.3850408
0.68                                    0.3752289
0.69                                    0.4038966
0.7                                     0.3805457
0.71                                    0.3860674
0.72                                    0.3562005
0.73                                    0.378006
0.74                                    0.3443853
0.75                                    0.3585937
0.76                                    0.3468776
0.77                                    0.3519135
0.78                                    0.322552
0.79                                    0.3313453
0.8                                     0.3074368
0.81                                    0.3167301
0.82                                    0.3018389
0.83                                    0.2732544
0.84                                    0.2657744
0.85                                    0.2749932
0.86                                    0.2657346
0.87                                    0.2483177
0.88                                    0.2556201
0.89                                    0.2091152
0.9                                     0.1947273
0.91                                    0.1649833
0.92                                    0.2006139
0.93                                    0.1673634
0.94                                    0.1465178
0.95                                    0.1141143
0.96                                    0.1006362
0.97                                    0.0706579
0.98                                    0.0657254
0.99                                    0.0698365
1.0                                     0.0315538


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.2660398
1.0                                     0.2900194
1.5                                     0.2795846
2.0                                     0.2767863
2.5                                     0.2814342
3.0                                     0.2658943
3.5                                     0.2586553
4.0                                     0.271726
4.5                                     0.2755135
5.0                                     0.267526
5.5                                     0.2590048
6.0                                     0.2604392
6.5                                     0.2563075
7.0                                     0.2613763
7.5                                     0.261579
8.0                                     0.2377216
8.5                                     0.2474928
9.0                                     0.2409204
9.5                                     0.2375452
10.0                                    0.2253543
10.5                                    0.2371774
11.0                                    0.242631
11.5                                    0.2339251
12.0                                    0.2379562
12.5                                    0.2390862
13.0                                    0.2208944
13.5                                    0.2259225
14.0                                    0.2061435
14.5                                    0.2101651
15.0                                    0.2131669
15.5                                    0.2154729
16.0                                    0.2036622
16.5                                    0.213808
17.0                                    0.2061606
17.5                                    0.206848
18.0                                    0.2106188
18.5                                    0.2031407
19.0                                    0.1860033
19.5                                    0.209134
20.0                                    0.2031784
20.5                                    0.1989266
21.0                                    0.2020398
21.5                                    0.2105033
22.0                                    0.1842453
22.5                                    0.1905725
23.0                                    0.2025893
23.5                                    0.1895841
24.0                                    0.1779516
24.5                                    0.1766156
25.0                                    0.1752193
25.5                                    0.1869014
26.0                                    0.1947449
26.5                                    0.1843324
27.0                                    0.1881083
27.5                                    0.1820378
28.0                                    0.1793921
28.5                                    0.1684906
29.0                                    0.1775609
29.5                                    0.1853249
30.0                                    0.1810607
30.5                                    0.1834958
31.0                                    0.1674946
31.5                                    0.1787261
32.0                                    0.1753498
32.5                                    0.1815596
33.0                                    0.1701439
33.5                                    0.1645819
34.0                                    0.1859493
34.5                                    0.1720193
35.0                                    0.1577153
35.5                                    0.1929462
36.0                                    0.1673202
36.5                                    0.1593117
37.0                                    0.1697071
37.5                                    0.1774957
38.0                                    0.1776737
38.5                                    0.1710865
39.0                                    0.1772912
39.5                                    0.174959
40.0                                    0.1771802
40.5                                    0.1726068
41.0                                    0.1667564
41.5                                    0.1766822
42.0                                    0.1674448
42.5                                    0.1658377
43.0                                    0.1603331
