DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.279665
Formation Factor (ratio)                6.7572866
Cementation Factor (ratio)              2.1720108
pore density (1/um3)                    0.0011561
Tortuosity (ratio)                      1.3716878
Average Coordination Number             3.8224589
Average Throat Radius (um)              2.7328299
Average Pore Radius (um)                3.4257882
Average Throat Length (um)              9.9278036
Pore to Throat Aspect ratio             8.2986911
Specific Surface (1/um)                 0.0002272
Pore Sphericity (ratio)                 6.0592313
Grain Sphericity (ratio)                0.7691223
Average Grain Radius (um)               3.8689969
Relative Young Module (ratio)           0.1788835

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    3.1712945
0.02                                    2.698189
0.03                                    2.2017739
0.04                                    2.3898668
0.05                                    2.2498411
0.06                                    2.0270232
0.07                                    2.0097609
0.08                                    2.3737868
0.09                                    2.2597476
0.1                                     2.144466
0.11                                    2.1208158
0.12                                    2.1284122
0.13                                    2.1126638
0.14                                    1.7584686
0.15                                    1.808622
0.16                                    1.8617498
0.17                                    1.8371498
0.18                                    1.6874431
0.19                                    1.6839948
0.2                                     1.7040798
0.21                                    1.9984134
0.22                                    1.8672692
0.23                                    1.6287385
0.24                                    1.7205418
0.25                                    1.7049519
0.26                                    1.7773202
0.27                                    1.8035706
0.28                                    1.7334582
0.29                                    1.7715522
0.3                                     1.8005334
0.31                                    1.5879445
0.32                                    1.72309
0.33                                    1.6135019
0.34                                    1.64269
0.35                                    1.5963318
0.36                                    1.539765
0.37                                    1.6205484
0.38                                    1.6370207
0.39                                    1.5655894
0.4                                     1.4876215
0.41                                    1.5336713
0.42                                    1.687246
0.43                                    1.4660227
0.44                                    1.5528609
0.45                                    1.6573712
0.46                                    1.4526872
0.47                                    1.5958605
0.48                                    1.6378508
0.49                                    1.6801756
0.5                                     1.5822241
0.51                                    1.6495434
0.52                                    1.6615381
0.53                                    1.4503628
0.54                                    1.5727471
0.55                                    1.5333086
0.56                                    1.6166938
0.57                                    1.4525126
0.58                                    1.4583591
0.59                                    1.7275593
0.6                                     1.233989
0.61                                    1.5229554
0.62                                    1.5277252
0.63                                    1.6407775
0.64                                    1.3261642
0.65                                    1.4709478
0.66                                    1.4114594
0.67                                    1.4391549
0.68                                    1.3052669
0.69                                    1.4546279
0.7                                     1.3870962
0.71                                    1.4194831
0.72                                    1.2891191
0.73                                    1.318276
0.74                                    1.5592577
0.75                                    1.495584
0.76                                    1.5515604
0.77                                    1.4242978
0.78                                    1.559744
0.79                                    1.4690427
0.8                                     1.5339074
0.81                                    1.3625499
0.82                                    1.3833304
0.83                                    1.2909958
0.84                                    1.5097962
0.85                                    1.4619019
0.86                                    1.4989985
0.87                                    1.1994091
0.88                                    1.2109113
0.89                                    1.3775957
0.9                                     1.4788545
0.91                                    1.2424073
0.92                                    1.4594403
0.93                                    1.3632814
0.94                                    1.5161676
0.95                                    1.3415464
0.96                                    1.3570642
0.97                                    1.4074653
0.98                                    1.1206227
0.99                                    1.1400018
1.0                                     0.8206822


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0189918
0.02                                    0.0209573
0.03                                    0.0265978
0.04                                    0.0235833
0.05                                    0.0269787
0.06                                    0.0194352
0.07                                    0.0199783
0.08                                    0.0231056
0.09                                    0.0220389
0.1                                     0.0226904
0.11                                    0.0268252
0.12                                    0.0181517
0.13                                    0.0223468
0.14                                    0.0230573
0.15                                    0.0279688
0.16                                    0.0261511
0.17                                    0.0225906
0.18                                    0.017356
0.19                                    0.0300005
0.2                                     0.0245488
0.21                                    0.0203685
0.22                                    0.0377708
0.23                                    0.0340539
0.24                                    0.0400395
0.25                                    0.0245636
0.26                                    0.0387327
0.27                                    0.0398502
0.28                                    0.0565788
0.29                                    0.049317
0.3                                     0.0560382
0.31                                    0.0480361
0.32                                    0.0626276
0.33                                    0.0572353
0.34                                    0.0760217
0.35                                    0.0736514
0.36                                    0.075898
0.37                                    0.1015493
0.38                                    0.0591287
0.39                                    0.0871335
0.4                                     0.1029347
0.41                                    0.0770738
0.42                                    0.0996923
0.43                                    0.1009687
0.44                                    0.1033354
0.45                                    0.1106262
0.46                                    0.0958844
0.47                                    0.1064073
0.48                                    0.1129532
0.49                                    0.1281856
0.5                                     0.1158966
0.51                                    0.1403831
0.52                                    0.1546206
0.53                                    0.1395301
0.54                                    0.1575527
0.55                                    0.1428054
0.56                                    0.148992
0.57                                    0.187091
0.58                                    0.1794943
0.59                                    0.1577673
0.6                                     0.187548
0.61                                    0.2030894
0.62                                    0.190171
0.63                                    0.1934135
0.64                                    0.1863129
0.65                                    0.1809014
0.66                                    0.194894
0.67                                    0.2315609
0.68                                    0.1957249
0.69                                    0.219822
0.7                                     0.2152044
0.71                                    0.2426538
0.72                                    0.2155789
0.73                                    0.2573949
0.74                                    0.2284874
0.75                                    0.3071998
0.76                                    0.2847587
0.77                                    0.2938746
0.78                                    0.3507857
