DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.072834
Formation Factor (ratio)                11.1696823
Cementation Factor (ratio)              2.1161811
pore density (1/um3)                    0.0013971
Tortuosity (ratio)                      1.3855452
Average Coordination Number             3.4879195
Average Throat Radius (um)              2.2335984
Average Pore Radius (um)                3.1383046
Average Throat Length (um)              8.780492
Pore to Throat Aspect ratio             6.6940898
Specific Surface (1/um)                 0.0002197
Pore Sphericity (ratio)                 4.7478334
Grain Sphericity (ratio)                0.7850377
Average Grain Radius (um)               4.1268413
Relative Young Module (ratio)           0.1563996

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.1658924
0.02                                    1.9947683
0.03                                    1.7823831
0.04                                    1.799735
0.05                                    1.761622
0.06                                    1.6245195
0.07                                    1.7585645
0.08                                    1.5960536
0.09                                    1.6348119
0.1                                     1.6647582
0.11                                    1.5335527
0.12                                    1.6988435
0.13                                    1.7804167
0.14                                    1.5885979
0.15                                    1.6121671
0.16                                    1.6433887
0.17                                    1.5970742
0.18                                    1.5434728
0.19                                    1.776031
0.2                                     1.4259009
0.21                                    1.4125823
0.22                                    1.4619201
0.23                                    1.5821077
0.24                                    1.4417653
0.25                                    1.6792969
0.26                                    1.5929989
0.27                                    1.4659996
0.28                                    1.739861
0.29                                    1.4955707
0.3                                     1.6727545
0.31                                    1.4573714
0.32                                    1.5292
0.33                                    1.4404997
0.34                                    1.5483501
0.35                                    1.5649289
0.36                                    1.5626026
0.37                                    1.5976819
0.38                                    1.4653225
0.39                                    1.4083435
0.4                                     1.5776922
0.41                                    1.4533442
0.42                                    1.3990488
0.43                                    1.4407015
0.44                                    1.3937083
0.45                                    1.6546678
0.46                                    1.463166
0.47                                    1.4340688
0.48                                    1.5956397
0.49                                    1.476081
0.5                                     1.4420492
0.51                                    1.383549
0.52                                    1.3134261
0.53                                    1.3465287
0.54                                    1.4596781
0.55                                    1.4266958
0.56                                    1.4086606
0.57                                    1.5611832
0.58                                    1.3573305
0.59                                    1.5350377
0.6                                     1.4099683
0.61                                    1.3440015
0.62                                    1.5007181
0.63                                    1.4684197
0.64                                    1.3030394
0.65                                    1.408945
0.66                                    1.4174533
0.67                                    1.3060323
0.68                                    1.2807199
0.69                                    1.2978395
0.7                                     1.3714439
0.71                                    1.3318055
0.72                                    1.4657097
0.73                                    1.4068795
0.74                                    1.496675
0.75                                    1.3275158
0.76                                    1.3976381
0.77                                    1.4397761
0.78                                    1.2763272
0.79                                    1.4601278
0.8                                     1.4417426
0.81                                    1.3804348
0.82                                    1.2469291
0.83                                    1.4249224
0.84                                    1.3030264
0.85                                    1.4455213
0.86                                    1.3813496
0.87                                    1.3231374
0.88                                    1.4349568
0.89                                    1.3042526
0.9                                     1.2461076
0.91                                    1.204152
0.92                                    1.2373101
0.93                                    1.214715
0.94                                    1.1114683
0.95                                    1.3868798
0.96                                    1.1788548
0.97                                    1.2074851
0.98                                    1.1912357
0.99                                    1.0080101
1.0                                     0.8330991


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0245303
0.02                                    0.0240861
0.03                                    0.0233709
0.04                                    0.0220481
0.05                                    0.0221874
0.06                                    0.023421
0.07                                    0.022324
0.08                                    0.0227424
0.09                                    0.0247403
0.1                                     0.0213042
0.11                                    0.0226323
0.12                                    0.0293079
0.13                                    0.0229263
0.14                                    0.0239973
0.15                                    0.0211665
0.16                                    0.0234951
0.17                                    0.025697
0.18                                    0.0268346
0.19                                    0.0261789
0.2                                     0.0256728
0.21                                    0.0243258
0.22                                    0.0305048
0.23                                    0.0319792
0.24                                    0.0346108
0.25                                    0.0370978
0.26                                    0.033469
0.27                                    0.0466019
0.28                                    0.0488907
0.29                                    0.0579244
0.3                                     0.0604223
0.31                                    0.0703359
0.32                                    0.0650095
0.33                                    0.0663081
0.34                                    0.0722523
0.35                                    0.0727411
0.36                                    0.079746
0.37                                    0.0907537
0.38                                    0.1045525
0.39                                    0.0909559
0.4                                     0.0988483
0.41                                    0.1034605
0.42                                    0.1067338
0.43                                    0.1171253
0.44                                    0.1073789
0.45                                    0.1284395
0.46                                    0.1472047
0.47                                    0.1418821
0.48                                    0.1421374
0.49                                    0.1590656
0.5                                     0.14746
0.51                                    0.1634553
0.52                                    0.1881596
0.53                                    0.1710865
0.54                                    0.1718029
0.55                                    0.1890426
0.56                                    0.1950279
0.57                                    0.1898079
0.58                                    0.214745
0.59                                    0.219024
0.6                                     0.2204385
0.61                                    0.2253903
0.62                                    0.2229728
0.63                                    0.2039374
0.64                                    0.2701042
0.65                                    0.2550987
0.66                                    0.2460804
0.67                                    0.2571608
0.68                                    0.2663791
0.69                                    0.2899243
0.7                                     0.2619243
0.71                                    0.28719
0.72                                    0.2763733
0.73                                    0.3039654
0.74                                    0.316394
0.75                                    0.3517487
0.76                                    0.3544054
0.77                                    0.3478547
0.78                                    0.3666016
0.79                                    0.371888
0.8                                     0.3800607
0.81                                    0.3707815
0.82                                    0.3798448
0.83                                    0.4510114
0.84                                    0.4222623
0.85                                    0.435442
0.86                                    0.4435585
0.87                                    0.4652384
0.88                                    0.4700123
0.89                                    0.4786667
0.9                                     0.5008603
0.91                                    0.5131513
0.92                                    0.5428531
0.93                                    0.5509064
0.94                                    0.5492697
0.95                                    0.5668759
0.96                                    0.5886946
0.97                                    0.6396522
0.98                                    0.6488218
0.99                                    0.6876146
1.0                                     0.977905


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9748368
0.02                                    0.939418
0.03                                    0.9111896
0.04                                    0.8855049
0.05                                    0.8416612
0.06                                    0.8388124
0.07                                    0.8079956
0.08                                    0.7927826
0.09                                    0.8031714
0.1                                     0.7999377
0.11                                    0.7570701
0.12                                    0.7511396
0.13                                    0.7216363
0.14                                    0.7479836
0.15                                    0.7253712
0.16                                    0.7136291
0.17                                    0.7086204
0.18                                    0.6791534
0.19                                    0.6905771
0.2                                     0.6861062
0.21                                    0.654911
0.22                                    0.6339427
0.23                                    0.6326798
0.24                                    0.6398751
0.25                                    0.6385804
0.26                                    0.6026533
0.27                                    0.6289241
0.28                                    0.6060342
0.29                                    0.5959584
0.3                                     0.5823846
0.31                                    0.6006538
0.32                                    0.5567853
0.33                                    0.5893096
0.34                                    0.6131276
0.35                                    0.5872808
0.36                                    0.5648541
0.37                                    0.5383866
0.38                                    0.5553129
0.39                                    0.5430868
0.4                                     0.5717281
0.41                                    0.5263883
0.42                                    0.5154835
0.43                                    0.533795
0.44                                    0.5057783
0.45                                    0.5367346
0.46                                    0.4886401
0.47                                    0.5150288
0.48                                    0.4898213
0.49                                    0.4975959
0.5                                     0.5021565
0.51                                    0.4905184
0.52                                    0.499291
0.53                                    0.5010623
0.54                                    0.4760422
0.55                                    0.4591918
0.56                                    0.4407298
0.57                                    0.4548893
0.58                                    0.4334575
0.59                                    0.4574666
0.6                                     0.4240497
0.61                                    0.4277183
0.62                                    0.4139693
0.63                                    0.417754
0.64                                    0.3948701
0.65                                    0.432018
0.66                                    0.3929659
0.67                                    0.3790271
0.68                                    0.4127779
0.69                                    0.3984663
0.7                                     0.3808509
0.71                                    0.3675255
0.72                                    0.3751009
0.73                                    0.3649776
0.74                                    0.3600865
0.75                                    0.3470007
0.76                                    0.3487809
0.77                                    0.3502908
0.78                                    0.3500422
0.79                                    0.3114133
0.8                                     0.3137227
0.81                                    0.3243802
0.82                                    0.2905125
0.83                                    0.2589957
0.84                                    0.2667927
0.85                                    0.2799573
0.86                                    0.2515237
0.87                                    0.2485352
0.88                                    0.2360294
0.89                                    0.2286892
0.9                                     0.2109697
0.91                                    0.1910011
0.92                                    0.1965425
0.93                                    0.1497903
0.94                                    0.1572454
0.95                                    0.1293469
0.96                                    0.1004861
0.97                                    0.0995299
0.98                                    0.0795389
0.99                                    0.0639116
1.0                                     0.0207687


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.3326722
1.0                                     0.3365547
1.5                                     0.3100893
2.0                                     0.3239349
2.5                                     0.3371206
3.0                                     0.3191319
3.5                                     0.3010028
4.0                                     0.3129915
4.5                                     0.3213794
5.0                                     0.2962484
5.5                                     0.2967745
6.0                                     0.3276104
6.5                                     0.2969414
7.0                                     0.3101333
7.5                                     0.2950539
8.0                                     0.2862208
8.5                                     0.2991005
9.0                                     0.2826392
9.5                                     0.2797401
10.0                                    0.2657665
10.5                                    0.2655754
11.0                                    0.2856649
11.5                                    0.2681495
12.0                                    0.2634589
12.5                                    0.2634222
13.0                                    0.2610437
13.5                                    0.2831394
14.0                                    0.2647199
14.5                                    0.2545145
15.0                                    0.2683307
15.5                                    0.253503
16.0                                    0.2443707
16.5                                    0.2512612
17.0                                    0.2523376
17.5                                    0.2447416
18.0                                    0.2577453
18.5                                    0.2321203
19.0                                    0.2288372
19.5                                    0.2493341
20.0                                    0.2316456
20.5                                    0.2286422
21.0                                    0.250806
21.5                                    0.2244004
22.0                                    0.2410182
22.5                                    0.2278991
23.0                                    0.2303939
23.5                                    0.2281688
24.0                                    0.2241473
24.5                                    0.2185705
25.0                                    0.2288397
25.5                                    0.2317123
26.0                                    0.2483613
26.5                                    0.2163131
27.0                                    0.2232537
27.5                                    0.224017
28.0                                    0.2247568
28.5                                    0.2329021
29.0                                    0.2127975
29.5                                    0.2276057
30.0                                    0.2193832
30.5                                    0.2280023
31.0                                    0.2079
31.5                                    0.2344712
32.0                                    0.2204161
32.5                                    0.2239495
33.0                                    0.2205524
33.5                                    0.227997
34.0                                    0.2063922
34.5                                    0.2205351
35.0                                    0.2130641
35.5                                    0.2230017
36.0                                    0.2142036
36.5                                    0.2220055
37.0                                    0.219091
37.5                                    0.2270992
38.0                                    0.2287165
38.5                                    0.2211157
39.0                                    0.220774
39.5                                    0.2066087
40.0                                    0.2143877
40.5                                    0.2252989
41.0                                    0.215292
41.5                                    0.2149008
42.0                                    0.205003
42.5                                    0.2132016
43.0                                    0.2077151
43.5                                    0.2116996
44.0                                    0.2131128
44.5                                    0.2106442
45.0                                    0.2153202
45.5                                    0.2376873
46.0                                    0.2158851
