DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0361127
Formation Factor (ratio)                15.3822402
Cementation Factor (ratio)              2.1708707
pore density (1/um3)                    0.0015621
Tortuosity (ratio)                      1.4089693
Average Coordination Number             3.3770737
Average Throat Radius (um)              1.9898228
Average Pore Radius (um)                2.7569541
Average Throat Length (um)              8.3954974
Pore to Throat Aspect ratio             5.8369787
Specific Surface (1/um)                 0.0002011
Pore Sphericity (ratio)                 3.8453741
Grain Sphericity (ratio)                0.7817255
Average Grain Radius (um)               4.1821723
Relative Young Module (ratio)           0.1760788

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.2305755
0.02                                    1.9057309
0.03                                    1.6693262
0.04                                    1.7059658
0.05                                    1.8013648
0.06                                    1.5818696
0.07                                    1.6773038
0.08                                    1.485667
0.09                                    1.5379781
0.1                                     1.5887378
0.11                                    1.56332
0.12                                    1.5316847
0.13                                    1.4510754
0.14                                    1.6483855
0.15                                    1.5306832
0.16                                    1.5115417
0.17                                    1.5188624
0.18                                    1.3812767
0.19                                    1.4884121
0.2                                     1.4330736
0.21                                    1.3564759
0.22                                    1.5763563
0.23                                    1.3164506
0.24                                    1.4721548
0.25                                    1.3653661
0.26                                    1.3507186
0.27                                    1.506062
0.28                                    1.5515759
0.29                                    1.5030647
0.3                                     1.5223831
0.31                                    1.3891584
0.32                                    1.5489123
0.33                                    1.4718363
0.34                                    1.3849745
0.35                                    1.2350636
0.36                                    1.4265806
0.37                                    1.3814242
0.38                                    1.4116695
0.39                                    1.4164889
0.4                                     1.5873646
0.41                                    1.439888
0.42                                    1.4014892
0.43                                    1.3099738
0.44                                    1.4054172
0.45                                    1.4968279
0.46                                    1.3828967
0.47                                    1.3502236
0.48                                    1.3815739
0.49                                    1.4136274
0.5                                     1.6087789
0.51                                    1.3907947
0.52                                    1.3708133
0.53                                    1.4956212
0.54                                    1.4306381
0.55                                    1.2865252
0.56                                    1.2337966
0.57                                    1.5203486
0.58                                    1.3928869
0.59                                    1.3197374
0.6                                     1.286567
0.61                                    1.2539912
0.62                                    1.4542027
0.63                                    1.4100058
0.64                                    1.2921891
0.65                                    1.3124922
0.66                                    1.3743513
0.67                                    1.2830462
0.68                                    1.2786446
0.69                                    1.2970245
0.7                                     1.3230463
0.71                                    1.3570073
0.72                                    1.2439651
0.73                                    1.2522509
0.74                                    1.4456949
0.75                                    1.3050422
0.76                                    1.2042851
0.77                                    1.3768785
0.78                                    1.4159655
0.79                                    1.303053
0.8                                     1.195567
0.81                                    1.1121666
0.82                                    1.1792972
0.83                                    1.209723
0.84                                    1.3535275
0.85                                    1.3456648
0.86                                    1.2400965
0.87                                    1.3278678
0.88                                    1.28864
0.89                                    1.2848982
0.9                                     1.2688302
0.91                                    1.3255519
0.92                                    1.2791836
0.93                                    1.2591843
0.94                                    1.2242017
0.95                                    1.3232375
0.96                                    1.3000463
0.97                                    1.0641032
0.98                                    1.101111
0.99                                    1.1161482
1.0                                     0.7258853


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0323355
0.02                                    0.0284315
0.03                                    0.0262975
0.04                                    0.0272138
0.05                                    0.0263294
0.06                                    0.0317929
0.07                                    0.0255859
0.08                                    0.032409
0.09                                    0.0273722
0.1                                     0.0216294
0.11                                    0.0229245
0.12                                    0.0277006
0.13                                    0.0229034
0.14                                    0.0306027
0.15                                    0.0254252
0.16                                    0.0268197
0.17                                    0.0289767
0.18                                    0.0317563
0.19                                    0.024861
0.2                                     0.0354391
0.21                                    0.035083
0.22                                    0.0306568
0.23                                    0.0351677
0.24                                    0.038623
0.25                                    0.0448191
0.26                                    0.0478018
0.27                                    0.0526207
0.28                                    0.0509801
0.29                                    0.0583112
0.3                                     0.0674518
0.31                                    0.0719256
0.32                                    0.072714
0.33                                    0.067446
0.34                                    0.0789093
0.35                                    0.0712892
0.36                                    0.0849592
0.37                                    0.0959953
0.38                                    0.1093575
