DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.6444441
Formation Factor (ratio)                4.0368319
Cementation Factor (ratio)              2.2183455
pore density (1/um3)                    0.0009919
Tortuosity (ratio)                      1.3082288
Average Coordination Number             4.2657591
Average Throat Radius (um)              2.9925084
Average Pore Radius (um)                3.8392442
Average Throat Length (um)              10.6149434
Pore to Throat Aspect ratio             9.6055524
Specific Surface (1/um)                 0.0002808
Pore Sphericity (ratio)                 7.0199925
Grain Sphericity (ratio)                0.7706168
Average Grain Radius (um)               3.3996067
Relative Young Module (ratio)           0.1584924

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    3.4174501
0.02                                    3.2176348
0.03                                    2.5992823
0.04                                    2.6868664
0.05                                    2.5461892
0.06                                    2.4260459
0.07                                    2.1943546
0.08                                    2.654975
0.09                                    2.7276643
0.1                                     2.2528479
0.11                                    2.4674283
0.12                                    2.3602978
0.13                                    2.4458554
0.14                                    2.0711126
0.15                                    2.0341619
0.16                                    2.0869405
0.17                                    2.046644
0.18                                    1.8929201
0.19                                    1.8297666
0.2                                     1.9984673
0.21                                    2.2891967
0.22                                    2.0816627
0.23                                    1.9581864
0.24                                    1.9005402
0.25                                    1.7482049
0.26                                    2.0148872
0.27                                    1.9567915
0.28                                    1.9360081
0.29                                    2.0018463
0.3                                     1.8436332
0.31                                    1.7875118
0.32                                    1.8436096
0.33                                    1.7770434
0.34                                    1.740964
0.35                                    1.7502822
0.36                                    1.4991975
0.37                                    1.6754538
0.38                                    1.7552783
0.39                                    1.7151506
0.4                                     1.565243
0.41                                    1.6716924
0.42                                    1.7931891
0.43                                    1.6679394
0.44                                    1.7629891
0.45                                    1.8099129
0.46                                    1.5979562
0.47                                    1.7128889
0.48                                    1.7363869
0.49                                    1.8480487
0.5                                     1.5877339
0.51                                    1.9542227
0.52                                    1.8163269
0.53                                    1.5129453
0.54                                    1.8277477
0.55                                    1.7241892
0.56                                    1.8337152
0.57                                    1.5127283
0.58                                    1.6300071
0.59                                    1.9048362
0.6                                     1.3184241
0.61                                    1.5729789
0.62                                    1.7442111
0.63                                    1.6207738
0.64                                    1.4173669
0.65                                    1.4992637
0.66                                    1.6551759
0.67                                    1.6608528
0.68                                    1.42184
0.69                                    1.7069841
0.7                                     1.5874239
0.71                                    1.5551875
0.72                                    1.4107644
0.73                                    1.3928945
0.74                                    1.6012966
0.75                                    1.5501691
0.76                                    1.6025499
0.77                                    1.4683515
0.78                                    1.7298785
0.79                                    1.6002389
0.8                                     1.6304031
0.81                                    1.4332674
0.82                                    1.4518441
0.83                                    1.3881197
0.84                                    1.6574331
0.85                                    1.524792
0.86                                    1.5914934
0.87                                    1.4046665
0.88                                    1.1973757
0.89                                    1.4803816
0.9                                     1.6606967
0.91                                    1.3978164
0.92                                    1.591489
0.93                                    1.6221579
0.94                                    1.5921058
0.95                                    1.4221617
0.96                                    1.3117478
0.97                                    1.4426214
0.98                                    1.1975724
0.99                                    1.2550019
1.0                                     0.9242574


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.013867
0.02                                    0.0153179
0.03                                    0.0233576
0.04                                    0.0205972
0.05                                    0.0241625
0.06                                    0.012915
0.07                                    0.0215617
0.08                                    0.0157583
0.09                                    0.0131348
0.1                                     0.0238804
0.11                                    0.0247847
0.12                                    0.0125738
0.13                                    0.0190703
0.14                                    0.0170459
0.15                                    0.0276115
0.16                                    0.0184334
0.17                                    0.0133764
0.18                                    0.0116583
0.19                                    0.0268576
0.2                                     0.0194672
0.21                                    0.0145105
0.22                                    0.0362876
0.23                                    0.0352435
0.24                                    0.0336261
0.25                                    0.0150382
0.26                                    0.0308458
0.27                                    0.032955
0.28                                    0.0506422
0.29                                    0.045889
0.3                                     0.0548853
0.31                                    0.0315141
0.32                                    0.0647472
0.33                                    0.0475217
0.34                                    0.0694443
0.35                                    0.0655234
0.36                                    0.0606532
0.37                                    0.0871522
0.38                                    0.0512768
0.39                                    0.0729517
0.4                                     0.0901203
0.41                                    0.0676606
0.42                                    0.0806767
0.43                                    0.0883098
0.44                                    0.0785554
0.45                                    0.0885723
0.46                                    0.077365
0.47                                    0.0760351
0.48                                    0.0768378
0.49                                    0.1040314
0.5                                     0.092815
0.51                                    0.1050989
0.52                                    0.11649
0.53                                    0.0914454
0.54                                    0.1196438
0.55                                    0.1026215
0.56                                    0.1059681
0.57                                    0.1384169
0.58                                    0.1386784
0.59                                    0.1222046
0.6                                     0.1306792
0.61                                    0.1478262
0.62                                    0.1438019
0.63                                    0.1424987
0.64                                    0.1363532
0.65                                    0.1209173
0.66                                    0.1289995
0.67                                    0.1787954
0.68                                    0.152319
0.69                                    0.167454
0.7                                     0.1657975
0.71                                    0.1738271
0.72                                    0.150506
0.73                                    0.1990584
0.74                                    0.168529
0.75                                    0.2096664
0.76                                    0.2096094
0.77                                    0.1959379
0.78                                    0.2662181
0.79                                    0.2667153
0.8                                     0.2155777
0.81                                    0.2567711
0.82                                    0.2551979
0.83                                    0.272857
0.84                                    0.3034991
0.85                                    0.2924958
0.86                                    0.3428843
0.87                                    0.2755398
0.88                                    0.3253852
0.89                                    0.3418492
0.9                                     0.34434
0.91                                    0.3905923
0.92                                    0.3878637
0.93                                    0.3615996
0.94                                    0.3769628
0.95                                    0.417859
0.96                                    0.4399593
0.97                                    0.4806182
0.98                                    0.5211551
0.99                                    0.5461217
1.0                                     0.9779616


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.982277
0.02                                    0.9064891
0.03                                    0.8086424
0.04                                    0.8360347
0.05                                    0.8512427
0.06                                    0.8510038
0.07                                    0.8515881
0.08                                    0.8690282
0.09                                    0.8359596
0.1                                     0.8590269
0.11                                    0.8337371
0.12                                    0.8391451
0.13                                    0.8150222
0.14                                    0.7906446
0.15                                    0.8025892
0.16                                    0.8097252
0.17                                    0.7960892
0.18                                    0.8143137
0.19                                    0.8190935
0.2                                     0.7919922
0.21                                    0.7532569
0.22                                    0.7674305
0.23                                    0.7758922
0.24                                    0.7489717
0.25                                    0.7728791
0.26                                    0.7332218
0.27                                    0.7374604
0.28                                    0.7079569
0.29                                    0.6827387
0.3                                     0.7238661
0.31                                    0.6678043
0.32                                    0.6977539
0.33                                    0.7258914
0.34                                    0.6897858
0.35                                    0.6590599
0.36                                    0.6376036
0.37                                    0.6562957
0.38                                    0.6574367
0.39                                    0.6749427
0.4                                     0.6711655
0.41                                    0.6416955
0.42                                    0.6709293
0.43                                    0.6150985
0.44                                    0.5954605
0.45                                    0.5487133
0.46                                    0.5848175
0.47                                    0.5756496
0.48                                    0.5633609
0.49                                    0.5586482
0.5                                     0.5662658
0.51                                    0.556259
0.52                                    0.5438033
0.53                                    0.5462976
0.54                                    0.5682814
0.55                                    0.5588952
0.56                                    0.4696663
0.57                                    0.5405697
0.58                                    0.5321834
0.59                                    0.4807546
0.6                                     0.4913386
0.61                                    0.5442725
0.62                                    0.5190969
0.63                                    0.4748344
0.64                                    0.4733441
0.65                                    0.4666383
0.66                                    0.4670756
0.67                                    0.4344423
0.68                                    0.4289281
0.69                                    0.4719999
0.7                                     0.460544
0.71                                    0.4406365
0.72                                    0.3949516
0.73                                    0.4396481
0.74                                    0.3698944
0.75                                    0.3762963
0.76                                    0.3582582
0.77                                    0.4026967
0.78                                    0.4091938
0.79                                    0.3636274
0.8                                     0.4561121
0.81                                    0.4028616
0.82                                    0.3870319
0.83                                    0.4072664
0.84                                    0.3769107
0.85                                    0.3944949
0.86                                    0.3653725
0.87                                    0.3749003
