DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.2130328
Formation Factor (ratio)                2.785862
Cementation Factor (ratio)              2.2433241
pore density (1/um3)                    0.0005917
Tortuosity (ratio)                      1.290372
Average Coordination Number             4.426612
Average Throat Radius (um)              3.5209992
Average Pore Radius (um)                4.4186568
Average Throat Length (um)              11.9605924
Pore to Throat Aspect ratio             12.0723133
Specific Surface (1/um)                 0.0003163
Pore Sphericity (ratio)                 8.2468968
Grain Sphericity (ratio)                0.7464142
Average Grain Radius (um)               2.9535743
Relative Young Module (ratio)           0.1625839

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    3.6448821
0.02                                    3.5983324
0.03                                    3.5737758
0.04                                    2.8985553
0.05                                    2.8915567
0.06                                    2.8893087
0.07                                    2.6862055
0.08                                    3.0346975
0.09                                    2.6818308
0.1                                     3.0136749
0.11                                    3.0777418
0.12                                    2.47205
0.13                                    2.7699301
0.14                                    2.712823
0.15                                    2.5454174
0.16                                    2.4964063
0.17                                    2.0380721
0.18                                    2.4489688
0.19                                    2.5003404
0.2                                     1.965882
0.21                                    2.4682044
0.22                                    2.6278425
0.23                                    2.2929161
0.24                                    2.3762919
0.25                                    1.9074689
0.26                                    2.1800961
0.27                                    2.2962533
0.28                                    2.6822732
0.29                                    1.9388213
0.3                                     2.6450124
0.31                                    2.013996
0.32                                    2.2008299
0.33                                    2.2899532
0.34                                    1.8729912
0.35                                    1.9730178
0.36                                    2.1352964
0.37                                    2.02897
0.38                                    2.2896926
0.39                                    2.2643982
0.4                                     1.8233241
0.41                                    1.7276865
0.42                                    1.7549475
0.43                                    2.0070997
0.44                                    2.0739874
0.45                                    2.2445822
0.46                                    1.9320151
0.47                                    1.7600139
0.48                                    2.054298
0.49                                    1.902904
0.5                                     2.242761
0.51                                    2.0971985
0.52                                    2.0354292
0.53                                    1.6140593
0.54                                    2.2977875
0.55                                    1.8310227
0.56                                    1.6475585
0.57                                    1.835705
0.58                                    2.1433879
0.59                                    2.2100917
0.6                                     1.5871647
0.61                                    1.7411688
0.62                                    2.1480226
0.63                                    1.7265813
0.64                                    1.9566278
0.65                                    1.852116
0.66                                    1.7731171
0.67                                    2.1215983
0.68                                    1.8853789
0.69                                    2.0558448
0.7                                     2.0089791
0.71                                    1.6182589
0.72                                    1.902904
0.73                                    1.9093212
0.74                                    1.7339494
0.75                                    1.7879037
0.76                                    1.6183614
0.77                                    1.8583276
0.78                                    1.8456075
0.79                                    1.9448567
0.8                                     1.5574318
0.81                                    1.7635581
0.82                                    1.7990538
0.83                                    1.7183861
0.84                                    1.5554301
0.85                                    1.5129844
0.86                                    2.1792739
0.87                                    1.7829378
0.88                                    1.3870988
0.89                                    1.8427918
0.9                                     1.5254348
0.91                                    1.9361101
0.92                                    1.7513009
0.93                                    1.5398608
0.94                                    1.5257256
0.95                                    1.6433087
0.96                                    1.3720827
0.97                                    1.5081775
0.98                                    1.415635
0.99                                    1.7325164
1.0                                     1.0890487


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0125959
0.02                                    0.0107331
0.03                                    0.0226002
0.04                                    0.0243962
0.05                                    0.0214963
0.06                                    0.0090643
0.07                                    0.0258837
0.08                                    0.0105883
0.09                                    0.013324
0.1                                     0.0273154
0.11                                    0.0330704
0.12                                    0.0099063
0.13                                    0.0150822
0.14                                    0.0128876
0.15                                    0.0279738
0.16                                    0.0114214
0.17                                    0.0147842
0.18                                    0.013175
0.19                                    0.0182571
0.2                                     0.015382
0.21                                    0.0088652
0.22                                    0.0605967
0.23                                    0.0402766
0.24                                    0.0382702
0.25                                    0.0079277
0.26                                    0.0241923
0.27                                    0.027189
0.28                                    0.0561958
0.29                                    0.0421149
0.3                                     0.0467274
0.31                                    0.0276607
0.32                                    0.0739055
0.33                                    0.0611062
0.34                                    0.0647192
0.35                                    0.0545083
0.36                                    0.0429714
0.37                                    0.0878583
0.38                                    0.0601654
0.39                                    0.0540391
0.4                                     0.0655256
0.41                                    0.047528
0.42                                    0.0721781
0.43                                    0.071037
0.44                                    0.061765
0.45                                    0.0622482
0.46                                    0.0620106
0.47                                    0.0567585
0.48                                    0.0574077
0.49                                    0.0716483
0.5                                     0.0704106
0.51                                    0.0545655
0.52                                    0.0425191
0.53                                    0.0468299
0.54                                    0.0985264
0.55                                    0.0399425
0.56                                    0.0453342
0.57                                    0.078679
0.58                                    0.0711394
0.59                                    0.0711962
0.6                                     0.0703847
0.61                                    0.0756434
0.62                                    0.0633043
0.63                                    0.0654434
0.64                                    0.0852325
0.65                                    0.0544405
0.66                                    0.0660879
0.67                                    0.0731972
0.68                                    0.0654595
0.69                                    0.0757637
0.7                                     0.0863092
0.71                                    0.0663659
0.72                                    0.0732592
0.73                                    0.1058483
0.74                                    0.0879728
0.75                                    0.0969439
0.76                                    0.0886792
0.77                                    0.0658143
0.78                                    0.0814509
0.79                                    0.1122736
0.8                                     0.0896236
0.81                                    0.1430405
0.82                                    0.1205497
0.83                                    0.1432641
0.84                                    0.1620589
0.85                                    0.2574434
0.86                                    0.2544204
0.87                                    0.1857626
0.88                                    0.1879811
0.89                                    0.2221388
0.9                                     0.2827456
0.91                                    0.3179921
0.92                                    0.3118294
0.93                                    0.288735
0.94                                    0.2764451
0.95                                    0.4248296
0.96                                    0.3627875
0.97                                    0.4705898
0.98                                    0.3801503
0.99                                    0.4358341
1.0                                     0.9756964


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9835992
0.02                                    0.8924768
0.03                                    0.7504075
0.04                                    0.7882581
0.05                                    0.8688577
0.06                                    0.8528413
0.07                                    0.8601332
0.08                                    0.8737144
0.09                                    0.9054866
0.1                                     0.893526
0.11                                    0.8989052
0.12                                    0.8745459
0.13                                    0.8585318
0.14                                    0.7863882
0.15                                    0.8659117
0.16                                    0.843799
0.17                                    0.897771
0.18                                    0.9185408
0.19                                    0.8986389
0.2                                     0.8718477
0.21                                    0.8383727
0.22                                    0.8759866
0.23                                    0.86481
0.24                                    0.8760238
0.25                                    0.8901171
0.26                                    0.8541457
0.27                                    0.849171
0.28                                    0.8309032
0.29                                    0.7910163
0.3                                     0.8017115
0.31                                    0.8445057
0.32                                    0.8078857
0.33                                    0.8239751
0.34                                    0.7543179
0.35                                    0.7638214
0.36                                    0.7645015
0.37                                    0.8003801
0.38                                    0.7533461
0.39                                    0.7747814
0.4                                     0.7768901
0.41                                    0.757705
0.42                                    0.8064447
0.43                                    0.826902
0.44                                    0.728587
0.45                                    0.749066
0.46                                    0.7921941
0.47                                    0.6648934
0.48                                    0.7165293
0.49                                    0.6851057
0.5                                     0.8150671
0.51                                    0.6288177
0.52                                    0.7532383
0.53                                    0.7385841
0.54                                    0.7455753
0.55                                    0.7683923
0.56                                    0.7366521
0.57                                    0.7771754
0.58                                    0.7900746
0.59                                    0.7417846
0.6                                     0.7432256
0.61                                    0.7781303
0.62                                    0.7967323
0.63                                    0.7518386
0.64                                    0.7371551
0.65                                    0.7420787
0.66                                    0.7466403
0.67                                    0.6648815
0.68                                    0.7094431
0.69                                    0.646858
0.7                                     0.6798271
0.71                                    0.6417162
0.72                                    0.6818126
0.73                                    0.721329
