DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0947599
Formation Factor (ratio)                9.1929813
Cementation Factor (ratio)              2.1083191
pore density (1/um3)                    0.0014136
Tortuosity (ratio)                      1.3822038
Average Coordination Number             3.6093713
Average Throat Radius (um)              2.2692902
Average Pore Radius (um)                3.0944335
Average Throat Length (um)              8.741852
Pore to Throat Aspect ratio             6.4424657
Specific Surface (1/um)                 0.0002071
Pore Sphericity (ratio)                 4.587748
Grain Sphericity (ratio)                0.7792284
Average Grain Radius (um)               4.0607191
Relative Young Module (ratio)           0.1745643

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.5497545
0.02                                    2.1438469
0.03                                    2.0887952
0.04                                    2.0602944
0.05                                    2.0643165
0.06                                    1.991739
0.07                                    1.9420391
0.08                                    1.9683937
0.09                                    1.8573111
0.1                                     1.6782213
0.11                                    1.7707939
0.12                                    1.6653255
0.13                                    1.590256
0.14                                    1.6698163
0.15                                    1.7103758
0.16                                    1.5952333
0.17                                    1.5762287
0.18                                    1.6551772
0.19                                    1.568148
0.2                                     1.6310278
0.21                                    1.6742302
0.22                                    1.5422974
0.23                                    1.5993025
0.24                                    1.5680689
0.25                                    1.640998
0.26                                    1.5110487
0.27                                    1.5608678
0.28                                    1.6518532
0.29                                    1.6907727
0.3                                     1.5719565
0.31                                    1.7029592
0.32                                    1.5737203
0.33                                    1.5773425
0.34                                    1.5184909
0.35                                    1.4941915
0.36                                    1.5803907
0.37                                    1.4685963
0.38                                    1.4788068
0.39                                    1.333123
0.4                                     1.7163071
0.41                                    1.4973897
0.42                                    1.4761392
0.43                                    1.5399731
0.44                                    1.6211824
0.45                                    1.4392415
0.46                                    1.361406
0.47                                    1.4669879
0.48                                    1.3407777
0.49                                    1.7227229
0.5                                     1.4912739
0.51                                    1.357418
0.52                                    1.6111086
0.53                                    1.455979
0.54                                    1.4329614
0.55                                    1.4317388
0.56                                    1.3857833
0.57                                    1.3448923
0.58                                    1.4838774
0.59                                    1.4716178
0.6                                     1.2746036
0.61                                    1.5537098
0.62                                    1.4018728
0.63                                    1.37328
0.64                                    1.4693463
0.65                                    1.5336941
0.66                                    1.4883382
0.67                                    1.5724337
0.68                                    1.3250978
0.69                                    1.3233342
0.7                                     1.3877937
0.71                                    1.4232851
0.72                                    1.362577
0.73                                    1.2574356
0.74                                    1.3799592
0.75                                    1.3366282
0.76                                    1.2637477
0.77                                    1.3999924
0.78                                    1.3490062
0.79                                    1.3727452
0.8                                     1.2465647
0.81                                    1.3692536
0.82                                    1.244454
0.83                                    1.2703715
0.84                                    1.4151424
0.85                                    1.2586737
0.86                                    1.156195
0.87                                    1.2687603
0.88                                    1.283058
0.89                                    1.2938883
0.9                                     1.3226395
0.91                                    1.1432685
0.92                                    1.1263029
0.93                                    1.0878059
0.94                                    1.2552318
0.95                                    1.1607409
0.96                                    1.1868815
0.97                                    1.1283186
0.98                                    1.101811
0.99                                    1.0745114
1.0                                     0.8524672


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0188331
0.02                                    0.0237261
0.03                                    0.0208308
0.04                                    0.0181236
0.05                                    0.02186
0.06                                    0.018355
0.07                                    0.0198703
0.08                                    0.0169914
0.09                                    0.0225662
0.1                                     0.0243675
0.11                                    0.022155
0.12                                    0.0215834
0.13                                    0.0270178
0.14                                    0.0232737
0.15                                    0.0232896
0.16                                    0.0240256
0.17                                    0.0220535
0.18                                    0.0219375
0.19                                    0.0281726
0.2                                     0.0186957
0.21                                    0.0266623
0.22                                    0.0287462
0.23                                    0.0304757
0.24                                    0.0304527
0.25                                    0.027092
0.26                                    0.034522
0.27                                    0.0325971
0.28                                    0.0453244
0.29                                    0.0450912
0.3                                     0.0508133
0.31                                    0.0532353
0.32                                    0.057102
0.33                                    0.0527461
0.34                                    0.0801599
0.35                                    0.0639369
0.36                                    0.0853219
0.37                                    0.0821378
0.38                                    0.0841291
0.39                                    0.0959806
0.4                                     0.1075121
0.41                                    0.1068062
0.42                                    0.1030452
0.43                                    0.1450842
0.44                                    0.1248516
0.45                                    0.1145452
0.46                                    0.1327974
0.47                                    0.118991
0.48                                    0.1331601
0.49                                    0.1480669
0.5                                     0.1404697
0.51                                    0.1406979
0.52                                    0.1451199
0.53                                    0.166408
0.54                                    0.1738075
0.55                                    0.1743065
0.56                                    0.1961138
0.57                                    0.1963226
0.58                                    0.2126781
0.59                                    0.1975173
0.6                                     0.2086596
0.61                                    0.2123933
0.62                                    0.2368883
0.63                                    0.2656547
0.64                                    0.2239744
0.65                                    0.2622908
0.66                                    0.2774357
0.67                                    0.259717
0.68                                    0.2759563
0.69                                    0.3057913
0.7                                     0.2965942
0.71                                    0.327258
0.72                                    0.3166712
0.73                                    0.3207667
0.74                                    0.3222046
0.75                                    0.3443088
0.76                                    0.3392996
0.77                                    0.3427071
0.78                                    0.3708261
0.79                                    0.3474287
0.8                                     0.3785397
0.81                                    0.3872524
0.82                                    0.388241
0.83                                    0.3930608
0.84                                    0.4024487
0.85                                    0.3852565
0.86                                    0.4321607
0.87                                    0.4432288
0.88                                    0.4366091
0.89                                    0.4705113
0.9                                     0.4808088
0.91                                    0.4895847
0.92                                    0.481221
0.93                                    0.5481287
0.94                                    0.5620496
0.95                                    0.5569396
0.96                                    0.5685947
0.97                                    0.5790899
0.98                                    0.6383012
0.99                                    0.6303771
1.0                                     0.9785721


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9789869
0.02                                    0.9400969
0.03                                    0.9248319
0.04                                    0.9153615
0.05                                    0.874813
0.06                                    0.846414
0.07                                    0.8164529
0.08                                    0.8040355
0.09                                    0.7711916
0.1                                     0.7744584
0.11                                    0.7570397
0.12                                    0.7542624
0.13                                    0.7277384
0.14                                    0.7284434
0.15                                    0.7025219
0.16                                    0.6577452
0.17                                    0.6719987
0.18                                    0.6763892
0.19                                    0.6685032
0.2                                     0.6656942
