DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0088579
Formation Factor (ratio)                26.6739021
Cementation Factor (ratio)              2.0994173
pore density (1/um3)                    0.0019619
Tortuosity (ratio)                      1.4275898
Average Coordination Number             3.3713453
Average Throat Radius (um)              1.6167675
Average Pore Radius (um)                2.5348525
Average Throat Length (um)              7.4171238
Pore to Throat Aspect ratio             4.5963566
Specific Surface (1/um)                 0.0001902
Pore Sphericity (ratio)                 3.0878883
Grain Sphericity (ratio)                0.7955175
Average Grain Radius (um)               4.3209385
Relative Young Module (ratio)           0.2225069

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.4859599
0.02                                    1.293511
0.03                                    1.217136
0.04                                    1.2005762
0.05                                    1.2553378
0.06                                    1.154902
0.07                                    1.1516091
0.08                                    1.2148361
0.09                                    1.1714353
0.1                                     1.1824917
0.11                                    1.1489127
0.12                                    1.1759046
0.13                                    1.1193644
0.14                                    1.1502935
0.15                                    1.122727
0.16                                    1.1567513
0.17                                    1.2577886
0.18                                    1.1791453
0.19                                    1.1465361
0.2                                     1.1558702
0.21                                    1.1862508
0.22                                    1.1127416
0.23                                    1.1510511
0.24                                    1.1492022
0.25                                    1.0483127
0.26                                    1.0689751
0.27                                    1.1500214
0.28                                    1.3137582
0.29                                    1.116695
0.3                                     1.1329675
0.31                                    1.061792
0.32                                    1.1039082
0.33                                    1.129684
0.34                                    1.1197766
0.35                                    1.1792642
0.36                                    1.1193821
0.37                                    1.104552
0.38                                    1.0808251
0.39                                    1.099438
0.4                                     1.1222515
0.41                                    1.0899367
0.42                                    1.1032202
0.43                                    1.1185866
0.44                                    1.1689892
0.45                                    1.117144
0.46                                    1.0852574
0.47                                    1.1311074
0.48                                    1.1042654
0.49                                    1.1815054
0.5                                     1.063206
0.51                                    1.164344
0.52                                    1.0866359
0.53                                    1.0570354
0.54                                    1.1648294
0.55                                    1.0277412
0.56                                    1.1325765
0.57                                    1.0428887
0.58                                    1.1319401
0.59                                    1.1129654
0.6                                     1.0829115
0.61                                    1.0075837
0.62                                    1.0740083
0.63                                    0.9846058
0.64                                    1.1401286
0.65                                    1.0899015
0.66                                    1.0666968
0.67                                    0.9839656
0.68                                    1.1422813
0.69                                    1.1403537
0.7                                     1.0395836
0.71                                    1.134183
0.72                                    1.069892
0.73                                    0.9505407
0.74                                    1.017433
0.75                                    1.0232792
0.76                                    1.1505728
0.77                                    0.9834287
0.78                                    1.1533602
0.79                                    1.0430628
0.8                                     1.075976
0.81                                    1.0726143
0.82                                    1.054936
0.83                                    1.1008135
0.84                                    1.074051
0.85                                    1.1143322
0.86                                    0.9638255
0.87                                    1.0777265
0.88                                    1.0119778
0.89                                    1.0174397
0.9                                     0.9709665
0.91                                    1.0497548
0.92                                    1.0698218
0.93                                    0.9564086
0.94                                    0.9133543
0.95                                    0.9778441
0.96                                    0.8716662
0.97                                    0.8399812
0.98                                    0.8851262
0.99                                    0.8129134
1.0                                     0.5383606


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0194326
0.02                                    0.0190177
0.03                                    0.0207975
0.04                                    0.0185229
0.05                                    0.0195196
0.06                                    0.0213546
0.07                                    0.01431
0.08                                    0.0199983
0.09                                    0.0183751
0.1                                     0.0155122
0.11                                    0.0146447
0.12                                    0.0191452
0.13                                    0.0179593
0.14                                    0.018892
0.15                                    0.0150825
0.16                                    0.0205407
0.17                                    0.0189067
0.18                                    0.0225635
0.19                                    0.0180572
0.2                                     0.0222088
0.21                                    0.0230752
0.22                                    0.0170295
0.23                                    0.020092
0.24                                    0.0245339
0.25                                    0.0329156
0.26                                    0.0343301
0.27                                    0.0330679
0.28                                    0.032972
0.29                                    0.0443476
0.3                                     0.0471138
0.31                                    0.0456979
0.32                                    0.0544793
0.33                                    0.0583652
0.34                                    0.057048
0.35                                    0.0664402
0.36                                    0.0680745
0.37                                    0.0781919
0.38                                    0.0737892
0.39                                    0.0930767
0.4                                     0.0953589
0.41                                    0.1065708
0.42                                    0.1037453
0.43                                    0.1050572
0.44                                    0.1146756
0.45                                    0.1271194
0.46                                    0.129416
0.47                                    0.1219208
0.48                                    0.1301031
0.49                                    0.1579929
0.5                                     0.149624
0.51                                    0.1870857
0.52                                    0.1860663
0.53                                    0.1766051
0.54                                    0.1796444
0.55                                    0.2021307
0.56                                    0.2003753
0.57                                    0.2170286
0.58                                    0.2227188
0.59                                    0.2173797
0.6                                     0.223224
0.61                                    0.2502412
0.62                                    0.2551481
0.63                                    0.2632962
0.64                                    0.2826252
0.65                                    0.2857141
0.66                                    0.2896169
0.67                                    0.2966055
0.68                                    0.2822884
0.69                                    0.3191654
0.7                                     0.3058604
0.71                                    0.3554551
0.72                                    0.3600996
0.73                                    0.3272029
0.74                                    0.370086
0.75                                    0.382501
0.76                                    0.389849
0.77                                    0.4052722
0.78                                    0.4103531
0.79                                    0.4613699
0.8                                     0.4526518
0.81                                    0.4605698
0.82                                    0.4783363
0.83                                    0.4645689
0.84                                    0.4944364
0.85                                    0.5053338
0.86                                    0.5357512
0.87                                    0.527578
0.88                                    0.5505202
0.89                                    0.5589144
0.9                                     0.565437
0.91                                    0.5977625
0.92                                    0.5885586
0.93                                    0.6156594
0.94                                    0.6453858
0.95                                    0.6502208
0.96                                    0.6994848
0.97                                    0.6842319
0.98                                    0.7101409
0.99                                    0.7470909
1.0                                     0.9835588


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9833831
0.02                                    0.9499766
0.03                                    0.9445828
0.04                                    0.9275311
0.05                                    0.9112527
0.06                                    0.8944563
0.07                                    0.879816
0.08                                    0.860503
0.09                                    0.8359348
0.1                                     0.8236709
0.11                                    0.7977883
0.12                                    0.7959813
0.13                                    0.7931522
0.14                                    0.7667859
0.15                                    0.75059
0.16                                    0.7477122
0.17                                    0.7202131
0.18                                    0.7098336
0.19                                    0.681398
0.2                                     0.6863594
0.21                                    0.7049317
0.22                                    0.6852321
0.23                                    0.6710281
0.24                                    0.6767286
0.25                                    0.6512388
0.26                                    0.6391971
0.27                                    0.6377952
0.28                                    0.6345836
0.29                                    0.6305072
0.3                                     0.6234542
0.31                                    0.6081245
0.32                                    0.6010503
0.33                                    0.5927711
0.34                                    0.5838215
0.35                                    0.5564978
0.36                                    0.5681834
0.37                                    0.5617562
0.38                                    0.5436046
0.39                                    0.5126319
0.4                                     0.5546858
0.41                                    0.5513489
0.42                                    0.5159063
0.43                                    0.5009954
0.44                                    0.4820299
0.45                                    0.4775373
0.46                                    0.4694685
0.47                                    0.4632292
0.48                                    0.4746275
0.49                                    0.4679391
0.5                                     0.4423414
0.51                                    0.4150219
0.52                                    0.424363
0.53                                    0.4371532
0.54                                    0.4351586
0.55                                    0.4109555
0.56                                    0.4314281
0.57                                    0.4064516
0.58                                    0.4086308
0.59                                    0.3995162
0.6                                     0.3898728
0.61                                    0.3949003
0.62                                    0.3912537
0.63                                    0.3865401
0.64                                    0.3512648
0.65                                    0.3442351
0.66                                    0.339491
0.67                                    0.3534505
0.68                                    0.3228885
0.69                                    0.3274504
0.7                                     0.3330537
0.71                                    0.3149676
0.72                                    0.3177802
0.73                                    0.3001549
0.74                                    0.289945
0.75                                    0.2894614
0.76                                    0.2696956
0.77                                    0.2607713
0.78                                    0.2600411
0.79                                    0.2458257
0.8                                     0.2506594
0.81                                    0.2468388
0.82                                    0.2274783
0.83                                    0.205796
0.84                                    0.2110327
0.85                                    0.1917553
0.86                                    0.1942088
0.87                                    0.1688448
0.88                                    0.1717646
0.89                                    0.1585556
0.9                                     0.151316
0.91                                    0.125245
0.92                                    0.1185143
0.93                                    0.1045444
0.94                                    0.0748976
0.95                                    0.0687969
0.96                                    0.0652244
0.97                                    0.0566992
0.98                                    0.0471626
0.99                                    0.0407099
1.0                                     0.01633


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.2072617
1.0                                     0.2060055
1.5                                     0.2197947
2.0                                     0.2003587
2.5                                     0.1888908
3.0                                     0.1975113
3.5                                     0.1931383
4.0                                     0.1945895
4.5                                     0.193278
5.0                                     0.1959301
5.5                                     0.173337
6.0                                     0.1789667
6.5                                     0.1824349
7.0                                     0.1659158
7.5                                     0.1694501
8.0                                     0.1587097
8.5                                     0.1587378
9.0                                     0.1517286
9.5                                     0.1496461
10.0                                    0.1524036
10.5                                    0.1519223
11.0                                    0.142286
11.5                                    0.1363666
