DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.2954798
Formation Factor (ratio)                4.6064568
Cementation Factor (ratio)              2.0643834
pore density (1/um3)                    0.0016348
Tortuosity (ratio)                      1.2770381
Average Coordination Number             4.3808598
Average Throat Radius (um)              2.4609688
Average Pore Radius (um)                3.1871628
Average Throat Length (um)              8.9522426
Pore to Throat Aspect ratio             7.2968471
Specific Surface (1/um)                 0.0003204
Pore Sphericity (ratio)                 5.2735639
Grain Sphericity (ratio)                0.7945922
Average Grain Radius (um)               3.4303056
Relative Young Module (ratio)           0.1267634

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.4469452
0.02                                    2.4702198
0.03                                    2.3811757
0.04                                    2.3079585
0.05                                    2.0324867
0.06                                    2.0019231
0.07                                    1.9971237
0.08                                    1.922937
0.09                                    2.0558863
0.1                                     1.8954453
0.11                                    2.0039129
0.12                                    2.0280173
0.13                                    1.9739191
0.14                                    1.8788898
0.15                                    1.7480469
0.16                                    1.9143631
0.17                                    1.9515742
0.18                                    1.8696674
0.19                                    1.7748109
0.2                                     1.7855341
0.21                                    1.9759589
0.22                                    1.6137171
0.23                                    1.7834913
0.24                                    1.6211433
0.25                                    1.6250514
0.26                                    1.7336025
0.27                                    1.6276707
0.28                                    1.6906613
0.29                                    1.5051772
0.3                                     1.6709704
0.31                                    1.6447748
0.32                                    1.6020058
0.33                                    1.617361
0.34                                    1.772086
0.35                                    1.7345164
0.36                                    1.6263804
0.37                                    1.5094367
0.38                                    1.7144383
0.39                                    1.596789
0.4                                     1.8255912
0.41                                    1.555994
0.42                                    1.5672559
0.43                                    1.6942704
0.44                                    1.589954
0.45                                    1.5318273
0.46                                    1.5346905
0.47                                    1.4624147
0.48                                    1.7378679
0.49                                    1.5931822
0.5                                     1.5549096
0.51                                    1.886777
0.52                                    1.5923154
0.53                                    1.7293978
0.54                                    1.6838549
0.55                                    1.5356652
0.56                                    1.632946
0.57                                    1.593753
0.58                                    1.633739
0.59                                    1.5905892
0.6                                     1.3633857
0.61                                    1.5835196
0.62                                    1.589902
0.63                                    1.5227284
0.64                                    1.5271365
0.65                                    1.6934997
0.66                                    1.4395762
0.67                                    1.6156365
0.68                                    1.5923169
0.69                                    1.7103468
0.7                                     1.5557397
0.71                                    1.5466871
0.72                                    1.3863961
0.73                                    1.5335092
0.74                                    1.5946778
0.75                                    1.6474702
0.76                                    1.5691184
0.77                                    1.6099147
0.78                                    1.4958779
0.79                                    1.6955994
0.8                                     1.5167893
0.81                                    1.2972837
0.82                                    1.3952939
0.83                                    1.4953322
0.84                                    1.5770709
0.85                                    1.5425276
0.86                                    1.4673668
0.87                                    1.521724
0.88                                    1.2447952
0.89                                    1.4395244
0.9                                     1.5713234
0.91                                    1.4372738
0.92                                    1.4395709
0.93                                    1.4377226
0.94                                    1.473813
0.95                                    1.415515
0.96                                    1.5959511
0.97                                    1.2398468
0.98                                    1.4711715
0.99                                    1.2231999
1.0                                     1.0569583


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0164646
0.02                                    0.0186624
0.03                                    0.0231574
0.04                                    0.0201681
0.05                                    0.0226216
0.06                                    0.0180464
0.07                                    0.0215998
0.08                                    0.0151835
0.09                                    0.014498
0.1                                     0.0236505
0.11                                    0.0223263
0.12                                    0.0159085
0.13                                    0.0206333
0.14                                    0.019588
0.15                                    0.0200349
0.16                                    0.0207888
0.17                                    0.0155107
0.18                                    0.01894
0.19                                    0.0263613
0.2                                     0.0181176
0.21                                    0.0164751
0.22                                    0.0281463
0.23                                    0.0272421
0.24                                    0.0316389
0.25                                    0.0183536
0.26                                    0.0274959
0.27                                    0.0352589
0.28                                    0.0578421
0.29                                    0.0480097
0.3                                     0.0439389
0.31                                    0.0348263
0.32                                    0.0641051
0.33                                    0.0483185
0.34                                    0.0579858
0.35                                    0.0613846
0.36                                    0.0643369
0.37                                    0.0709659
0.38                                    0.0778311
0.39                                    0.0968561
0.4                                     0.0853781
0.41                                    0.0973909
0.42                                    0.1037634
0.43                                    0.1043523
0.44                                    0.0972631
0.45                                    0.114399
0.46                                    0.1283391
0.47                                    0.1106806
0.48                                    0.1236815
0.49                                    0.1358147
0.5                                     0.1182075
0.51                                    0.1359173
0.52                                    0.1390617
0.53                                    0.1510882
0.54                                    0.1488775
0.55                                    0.1885377
0.56                                    0.1741451
0.57                                    0.1801253
0.58                                    0.1574982
0.59                                    0.186216
0.6                                     0.1857002
0.61                                    0.1798605
0.62                                    0.2009684
0.63                                    0.2018878
0.64                                    0.212785
0.65                                    0.1829042
0.66                                    0.2170882
0.67                                    0.2083032
0.68                                    0.2231819
0.69                                    0.2065145
0.7                                     0.218473
0.71                                    0.2417527
