DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.5773147
Formation Factor (ratio)                3.6757706
Cementation Factor (ratio)              2.051978
pore density (1/um3)                    0.0011474
Tortuosity (ratio)                      1.2813039
Average Coordination Number             4.5667785
Average Throat Radius (um)              2.8951199
Average Pore Radius (um)                3.7256133
Average Throat Length (um)              9.787097
Pore to Throat Aspect ratio             9.4462846
Specific Surface (1/um)                 0.0003304
Pore Sphericity (ratio)                 6.6603544
Grain Sphericity (ratio)                0.776895
Average Grain Radius (um)               3.4880693
Relative Young Module (ratio)           0.1347956

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.5700033
0.02                                    2.5099932
0.03                                    2.3147768
0.04                                    2.1038617
0.05                                    1.9119034
0.06                                    2.1457068
0.07                                    1.9272434
0.08                                    2.1669777
0.09                                    2.1679966
0.1                                     2.0009605
0.11                                    1.9928404
0.12                                    1.871501
0.13                                    2.3912995
0.14                                    1.9609539
0.15                                    1.804358
0.16                                    1.9379211
0.17                                    1.7791231
0.18                                    2.0720552
0.19                                    1.9730282
0.2                                     2.011658
0.21                                    1.8798376
0.22                                    1.5921392
0.23                                    1.9126078
0.24                                    1.7137251
0.25                                    1.7324224
0.26                                    1.7043335
0.27                                    1.7010512
0.28                                    1.8604497
0.29                                    1.6807569
0.3                                     1.9948401
0.31                                    1.8731148
0.32                                    1.9067914
0.33                                    1.8696265
0.34                                    1.715617
0.35                                    1.840365
0.36                                    1.8231511
0.37                                    1.8486787
0.38                                    1.7719409
0.39                                    1.6870696
0.4                                     1.6957336
0.41                                    1.6170728
0.42                                    1.6782623
0.43                                    1.6962443
0.44                                    1.8209221
0.45                                    1.7473572
0.46                                    1.6680208
0.47                                    1.7990615
0.48                                    1.6722996
0.49                                    1.8754458
0.5                                     1.6762764
0.51                                    1.9557608
0.52                                    1.8242911
0.53                                    1.5945908
0.54                                    1.8304533
0.55                                    1.7367291
0.56                                    1.8148599
0.57                                    1.6903606
0.58                                    1.8719621
0.59                                    1.6336963
0.6                                     1.6434876
0.61                                    1.5288657
0.62                                    1.6838965
0.63                                    1.636737
0.64                                    1.6707411
0.65                                    1.6029933
0.66                                    1.8238874
0.67                                    2.0586159
0.68                                    1.6233073
0.69                                    1.8978015
0.7                                     1.6249519
0.71                                    1.7890177
0.72                                    1.6965557
0.73                                    1.5316608
0.74                                    1.653982
0.75                                    1.5648467
0.76                                    1.6017208
0.77                                    1.4462812
0.78                                    1.6203882
0.79                                    1.5974826
0.8                                     1.6915402
0.81                                    1.5973858
0.82                                    1.4808516
0.83                                    1.6613663
0.84                                    1.8442635
0.85                                    1.4383946
0.86                                    1.8448504
0.87                                    1.8449557
0.88                                    1.4760938
0.89                                    1.5810176
0.9                                     1.6705617
0.91                                    1.5806745
0.92                                    1.5489138
0.93                                    1.5394437
0.94                                    1.5122113
0.95                                    1.5570746
0.96                                    1.5281839
0.97                                    1.3524227
0.98                                    1.4046051
0.99                                    1.4691651
1.0                                     1.0647306


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0151671
0.02                                    0.017395
0.03                                    0.0210903
0.04                                    0.023109
0.05                                    0.0213633
0.06                                    0.0167014
0.07                                    0.0302603
0.08                                    0.0157348
0.09                                    0.0117564
0.1                                     0.0292534
0.11                                    0.0220654
0.12                                    0.0132898
0.13                                    0.0229179
0.14                                    0.0196231
0.15                                    0.0269067
0.16                                    0.0167721
0.17                                    0.0137403
0.18                                    0.0145374
0.19                                    0.0275236
0.2                                     0.0176845
0.21                                    0.0152375
0.22                                    0.0375401
0.23                                    0.0363353
0.24                                    0.0272377
0.25                                    0.0141007
0.26                                    0.029812
0.27                                    0.0381912
0.28                                    0.0576262
0.29                                    0.0478323
0.3                                     0.0454903
0.31                                    0.0422702
0.32                                    0.0644705
0.33                                    0.0505675
0.34                                    0.0700816
0.35                                    0.0617755
0.36                                    0.0638033
0.37                                    0.0807948
0.38                                    0.0758727
0.39                                    0.0864598
0.4                                     0.0942799
0.41                                    0.094198
0.42                                    0.094496
0.43                                    0.1046694
0.44                                    0.0875935
0.45                                    0.1043417
0.46                                    0.0869557
0.47                                    0.0960295
0.48                                    0.0972061
0.49                                    0.115977
0.5                                     0.1119099
0.51                                    0.1174667
0.52                                    0.1144549
0.53                                    0.1068031
0.54                                    0.1395756
0.55                                    0.1270676
0.56                                    0.1307932
0.57                                    0.1672164
0.58                                    0.1650459
0.59                                    0.154725
0.6                                     0.1627901
0.61                                    0.2023086
0.62                                    0.1835443
