DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.2525413
Formation Factor (ratio)                2.8932587
Cementation Factor (ratio)              2.5001015
pore density (1/um3)                    0.0005571
Tortuosity (ratio)                      1.3018222
Average Coordination Number             4.5463987
Average Throat Radius (um)              3.6385728
Average Pore Radius (um)                4.624706
Average Throat Length (um)              11.7574315
Pore to Throat Aspect ratio             12.4540599
Specific Surface (1/um)                 0.0003323
Pore Sphericity (ratio)                 8.454569
Grain Sphericity (ratio)                0.7551086
Average Grain Radius (um)               3.1274805
Relative Young Module (ratio)           0.1788719

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    3.5587175
0.02                                    3.4880387
0.03                                    3.6718914
0.04                                    2.6685629
0.05                                    2.8394063
0.06                                    3.048592
0.07                                    3.0027127
0.08                                    2.8849143
0.09                                    3.176554
0.1                                     2.5886504
0.11                                    2.6203575
0.12                                    1.9879034
0.13                                    2.7243861
0.14                                    2.372375
0.15                                    2.6049453
0.16                                    2.1747473
0.17                                    1.9946482
0.18                                    2.2454564
0.19                                    1.8080667
0.2                                     1.9062649
0.21                                    2.4277826
0.22                                    2.169331
0.23                                    2.2257708
0.24                                    2.2644986
0.25                                    2.001077
0.26                                    2.1479574
0.27                                    2.007824
0.28                                    2.5112413
0.29                                    2.0435809
0.3                                     1.8449799
0.31                                    1.8544207
0.32                                    2.121786
0.33                                    2.6190459
0.34                                    1.5581882
0.35                                    1.6148517
0.36                                    1.7045548
0.37                                    2.1424475
0.38                                    2.3087985
0.39                                    1.8444154
0.4                                     2.0732901
0.41                                    2.0808981
0.42                                    2.0455858
0.43                                    1.8297469
0.44                                    2.3664075
0.45                                    2.4353857
0.46                                    2.003181
0.47                                    1.7740302
0.48                                    1.7070654
0.49                                    1.3798596
0.5                                     2.139958
0.51                                    2.1114892
0.52                                    2.0103936
0.53                                    1.9286122
0.54                                    1.7803204
0.55                                    1.8773965
0.56                                    2.2396405
0.57                                    2.1688367
0.58                                    1.8382046
0.59                                    1.7618148
0.6                                     2.0428495
0.61                                    1.6193831
0.62                                    2.0358197
0.63                                    1.6319949
0.64                                    1.9741279
0.65                                    1.4000028
0.66                                    1.9696073
0.67                                    2.2840009
0.68                                    1.7327717
0.69                                    2.1066251
0.7                                     1.7583558
0.71                                    1.6069115
0.72                                    1.6741057
0.73                                    1.6219813
0.74                                    1.7668601
0.75                                    1.2612197
0.76                                    1.6128201
0.77                                    1.9041735
0.78                                    1.4152096
0.79                                    1.7309981
0.8                                     1.8036524
0.81                                    1.6182912
