DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0233165
Formation Factor (ratio)                16.854223
Cementation Factor (ratio)              2.2494957
pore density (1/um3)                    0.0022551
Tortuosity (ratio)                      1.3714022
Average Coordination Number             3.7393106
Average Throat Radius (um)              1.6792524
Average Pore Radius (um)                2.6812961
Average Throat Length (um)              7.2597713
Pore to Throat Aspect ratio             5.5098976
Specific Surface (1/um)                 0.0002458
Pore Sphericity (ratio)                 3.5641519
Grain Sphericity (ratio)                0.8030066
Average Grain Radius (um)               3.807172
Relative Young Module (ratio)           0.1610134

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.6999858
0.02                                    1.4621813
0.03                                    1.3164123
0.04                                    1.4271972
0.05                                    1.4018548
0.06                                    1.3196753
0.07                                    1.2492428
0.08                                    1.3380232
0.09                                    1.2614276
0.1                                     1.318065
0.11                                    1.2982173
0.12                                    1.3772847
0.13                                    1.2880527
0.14                                    1.2744036
0.15                                    1.2917751
0.16                                    1.315148
0.17                                    1.3253662
0.18                                    1.1635181
0.19                                    1.3278079
0.2                                     1.1368881
0.21                                    1.2306605
0.22                                    1.3390506
0.23                                    1.3969417
0.24                                    1.2244139
0.25                                    1.16818
0.26                                    1.2285744
0.27                                    1.1867631
0.28                                    1.2600753
0.29                                    1.1888992
0.3                                     1.3224577
0.31                                    1.1727473
0.32                                    1.2647885
0.33                                    1.2208645
0.34                                    1.2900979
0.35                                    1.2633839
0.36                                    1.3728893
0.37                                    1.2011786
0.38                                    1.2901389
0.39                                    1.2960024
0.4                                     1.340835
0.41                                    1.2930794
0.42                                    1.3268599
0.43                                    1.3890201
0.44                                    1.2390439
0.45                                    1.2642428
0.46                                    1.2635338
0.47                                    1.343928
0.48                                    1.2652155
0.49                                    1.262907
0.5                                     1.3573346
0.51                                    1.2343135
0.52                                    1.2338133
0.53                                    1.2837945
0.54                                    1.2713848
0.55                                    1.3283867
0.56                                    1.2638179
0.57                                    1.1615614
0.58                                    1.3095917
0.59                                    1.2630437
0.6                                     1.1794544
0.61                                    1.2986553
0.62                                    1.2228881
0.63                                    1.3614146
0.64                                    1.2007839
0.65                                    1.2693581
0.66                                    1.2271943
0.67                                    1.3354736
0.68                                    1.2336808
0.69                                    1.1374196
0.7                                     1.2422026
0.71                                    1.2416507
0.72                                    1.1732648
0.73                                    1.172612
0.74                                    1.2460801
0.75                                    1.1356684
0.76                                    1.1687489
0.77                                    1.2023037
0.78                                    1.2268796
0.79                                    1.2314333
0.8                                     1.3611907
0.81                                    1.1644724
0.82                                    1.1863556
0.83                                    1.1402588
0.84                                    1.2070116
0.85                                    1.1302823
0.86                                    1.3766325
0.87                                    1.3639456
0.88                                    1.1800768
0.89                                    1.1018686
0.9                                     1.2478612
0.91                                    1.1846295
0.92                                    1.1910574
0.93                                    1.1031167
0.94                                    1.1496454
0.95                                    1.1852958
0.96                                    1.1641325
0.97                                    1.0292306
0.98                                    1.0332516
0.99                                    0.9915746
1.0                                     0.6982932


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0237782
0.02                                    0.0183481
0.03                                    0.0194208
0.04                                    0.0203805
0.05                                    0.0218116
0.06                                    0.0182853
0.07                                    0.0173334
0.08                                    0.0202214
0.09                                    0.016681
0.1                                     0.0160851
0.11                                    0.0162302
0.12                                    0.0185076
