DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.3445983
Formation Factor (ratio)                2.6495809
Cementation Factor (ratio)              2.1311393
pore density (1/um3)                    0.0005086
Tortuosity (ratio)                      1.2845368
Average Coordination Number             4.3418556
Average Throat Radius (um)              3.6447283
Average Pore Radius (um)                4.3530059
Average Throat Length (um)              12.3492205
Pore to Throat Aspect ratio             12.3878549
Specific Surface (1/um)                 0.0003424
Pore Sphericity (ratio)                 8.5138684
Grain Sphericity (ratio)                0.7462411
Average Grain Radius (um)               2.8635875
Relative Young Module (ratio)           0.2304496

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    4.6346657
0.02                                    5.0831401
0.03                                    4.3919984
0.04                                    4.1904868
0.05                                    4.4450553
0.06                                    3.8402574
0.07                                    4.2440787
0.08                                    4.0642886
0.09                                    4.1533482
0.1                                     4.1946178
0.11                                    3.6007086
0.12                                    3.1848479
0.13                                    3.0063819
0.14                                    3.3926254
0.15                                    3.2594125
0.16                                    2.734394
0.17                                    2.9952243
0.18                                    2.3828046
0.19                                    2.6252933
0.2                                     2.2308379
0.21                                    2.2103336
0.22                                    2.8905058
0.23                                    2.4782142
0.24                                    2.7447847
0.25                                    1.8980063
0.26                                    2.0020953
0.27                                    1.8758548
0.28                                    2.7797508
0.29                                    2.2903674
0.3                                     2.1036367
0.31                                    1.3493695
0.32                                    1.9415259
0.33                                    2.2263793
0.34                                    1.9039119
0.35                                    1.6670862
0.36                                    1.8360511
0.37                                    2.2490556
0.38                                    2.6462178
0.39                                    2.316956
0.4                                     1.5711014
0.41                                    1.7234195
0.42                                    1.7342638
0.43                                    1.7998838
0.44                                    2.3366661
0.45                                    1.9774174
0.46                                    1.49907
0.47                                    1.7674291
0.48                                    2.01949
0.49                                    1.4605233
0.5                                     2.3459257
0.51                                    2.223823
0.52                                    2.5218777
0.53                                    1.9435228
0.54                                    2.199664
0.55                                    1.6163568
0.56                                    2.6581671
0.57                                    1.3653241
0.58                                    2.0526378
0.59                                    1.6241874
0.6                                     1.5569652
0.61                                    1.3557083
0.62                                    1.9289534
0.63                                    1.9203113
0.64                                    1.8135108
0.65                                    1.3981377
0.66                                    1.490467
0.67                                    2.534007
0.68                                    1.3685807
0.69                                    1.9340321
0.7                                     1.6290752
0.71                                    1.2436517
0.72                                    1.9145667
0.73                                    1.3368097
0.74                                    1.3261026
0.75                                    1.1652946
0.76                                    1.8915247
0.77                                    1.5826352
0.78                                    1.6733128
0.79                                    1.3658928
0.8                                     1.1818709
0.81                                    1.3415287
0.82                                    1.9718196
0.83                                    1.2376981
0.84                                    1.6440636
0.85                                    1.0538286
0.86                                    1.8880441
0.87                                    1.7747061
0.88                                    1.0528005
0.89                                    1.5667957
0.9                                     1.5574897
0.91                                    1.8606191
0.92                                    1.4120879
0.93                                    1.1441816
0.94                                    1.6573439
0.95                                    1.5737554
0.96                                    1.4130797
0.97                                    1.4417779
0.98                                    1.2911773
0.99                                    1.5643913
1.0                                     0.7614446


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0075701
0.02                                    0.0063435
0.03                                    0.0119261
0.04                                    0.0125153
0.05                                    0.0129215
0.06                                    0.005942
0.07                                    0.0160727
0.08                                    0.0067057
0.09                                    0.0053743
0.1                                     0.0201258
0.11                                    0.0176597
0.12                                    0.0022686
0.13                                    0.0158067
0.14                                    0.0101686
0.15                                    0.0337511
0.16                                    0.0051696
0.17                                    0.005313
0.18                                    0.0051723
0.19                                    0.0160618
0.2                                     0.0061292
0.21                                    0.0048878
0.22                                    0.0367824
0.23                                    0.0294911
0.24                                    0.0201971
0.25                                    0.0028508
0.26                                    0.0240857
0.27                                    0.0136169
0.28                                    0.0340407
0.29                                    0.0339238
0.3                                     0.0281393
0.31                                    0.0134342
0.32                                    0.0699609
0.33                                    0.0202079
0.34                                    0.0522297
0.35                                    0.0308761
0.36                                    0.0260658
0.37                                    0.0525481
0.38                                    0.0383065
0.39                                    0.0306175
0.4                                     0.0537936
0.41                                    0.0358466
0.42                                    0.0526397
0.43                                    0.0414389
0.44                                    0.0281181
0.45                                    0.0307232
0.46                                    0.0354461
0.47                                    0.0301915
0.48                                    0.0258247
0.49                                    0.0576042
0.5                                     0.0255136
0.51                                    0.0296076
0.52                                    0.0273125
0.53                                    0.0266854
0.54                                    0.0414493
0.55                                    0.0235533
0.56                                    0.0187343
0.57                                    0.0453564
0.58                                    0.0416379
0.59                                    0.0489359
0.6                                     0.0408816
0.61                                    0.0360269
0.62                                    0.033904
0.63                                    0.0365049
0.64                                    0.0510133
0.65                                    0.0244575
0.66                                    0.0304241
0.67                                    0.0448578
0.68                                    0.0450139
0.69                                    0.0500188
0.7                                     0.054155
0.71                                    0.0262401
0.72                                    0.0438144
0.73                                    0.0379798
0.74                                    0.0353478
0.75                                    0.0459547
0.76                                    0.0691457
0.77                                    0.0494197
0.78                                    0.0497431
0.79                                    0.0622976
0.8                                     0.0339636
0.81                                    0.0700426
0.82                                    0.0485451
0.83                                    0.0751352
0.84                                    0.0599167
0.85                                    0.0982181
0.86                                    0.0885863
0.87                                    0.0876593
0.88                                    0.0923893
0.89                                    0.1007565
0.9                                     0.1391247
0.91                                    0.1477166
0.92                                    0.1870529
0.93                                    0.1817435
0.94                                    0.1244763
0.95                                    0.1883872
0.96                                    0.1538206
0.97                                    0.1918005
0.98                                    0.1964654
0.99                                    0.222252
1.0                                     0.9786885


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9965403
0.02                                    0.8983032
0.03                                    0.7637188
0.04                                    0.801618
0.05                                    0.8970532
0.06                                    0.8847401
0.07                                    0.8966439
0.08                                    0.9227867
0.09                                    0.9216763
0.1                                     0.935797
0.11                                    0.9495569
0.12                                    0.9303246
0.13                                    0.928932
0.14                                    0.9013377
0.15                                    0.9025623
0.16                                    0.9074743
0.17                                    0.9443224
0.18                                    0.9653108
0.19                                    0.9110109
0.2                                     0.9172447
0.21                                    0.8399929
0.22                                    0.9320127
0.23                                    0.9342867
0.24                                    0.9190961
0.25                                    0.8907693
0.26                                    0.8728198
0.27                                    0.9108626
0.28                                    0.9107549
0.29                                    0.8558181
0.3                                     0.8939214
0.31                                    0.8903793
0.32                                    0.8804332
0.33                                    0.8819535
0.34                                    0.8410874
0.35                                    0.8688242
0.36                                    0.782428
0.37                                    0.8265761
0.38                                    0.8296456
0.39                                    0.8384198
0.4                                     0.869958
0.41                                    0.8099163
0.42                                    0.876309
0.43                                    0.9022835
0.44                                    0.8606351
0.45                                    0.7390133
0.46                                    0.827001
0.47                                    0.7518061
0.48                                    0.8356078
0.49                                    0.734468
0.5                                     0.7621771
0.51                                    0.6243384
0.52                                    0.7506149
0.53                                    0.7398002
0.54                                    0.7630697
0.55                                    0.8185814
0.56                                    0.7043259
0.57                                    0.8035089
0.58                                    0.7609242
0.59                                    0.7738928
0.6                                     0.7250043
0.61                                    0.8139775
0.62                                    0.7936965
0.63                                    0.7471933
0.64                                    0.7449508
0.65                                    0.7673898
0.66                                    0.6792134
0.67                                    0.6518924
0.68                                    0.6523455
0.69                                    0.5915681
0.7                                     0.7290016
0.71                                    0.6745792
0.72                                    0.5736685
0.73                                    0.6311211
0.74                                    0.5465507
0.75                                    0.4995284
0.76                                    0.6202404
0.77                                    0.6027366
0.78                                    0.687012
0.79                                    0.413595
0.8                                     0.7496829
0.81                                    0.5607148
0.82                                    0.6809741
0.83                                    0.7030751
0.84                                    0.6107771
0.85                                    0.6722383
0.86                                    0.7662336
0.87                                    0.7088217
0.88                                    0.5732727
0.89                                    0.6108066
0.9                                     0.5847255
0.91                                    0.6475911
0.92                                    0.5253687
0.93                                    0.5333129
0.94                                    0.584494
0.95                                    0.5017227
0.96                                    0.66287
0.97                                    0.5545982
0.98                                    0.3700516
0.99                                    0.1582631
1.0                                     0.0093152


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.5401014
1.0                                     0.5399186
1.5                                     0.5394945
2.0                                     0.53907
2.5                                     0.5378281
3.0                                     0.5391341
3.5                                     0.5375676
4.0                                     0.5386576
4.5                                     0.5356335
5.0                                     0.5353454
5.5                                     0.5377076
6.0                                     0.5341418
6.5                                     0.5347762
7.0                                     0.5367564
7.5                                     0.5378819
8.0                                     0.5342699
8.5                                     0.532184
9.0                                     0.5338626
9.5                                     0.5298644
10.0                                    0.5370281
10.5                                    0.5328086
11.0                                    0.5331592
11.5                                    0.5295799
12.0                                    0.5361095
12.5                                    0.5349654
13.0                                    0.5359224
13.5                                    0.5306025
14.0                                    0.5308145
14.5                                    0.5337519
15.0                                    0.5352547
15.5                                    0.5328605
16.0                                    0.5310382
16.5                                    0.5317982
17.0                                    0.5316442
17.5                                    0.5283565
18.0                                    0.5296928
18.5                                    0.5303703
19.0                                    0.5311578
19.5                                    0.5285557
20.0                                    0.5324425
20.5                                    0.5287098
21.0                                    0.5320017
21.5                                    0.5295296
22.0                                    0.532198
22.5                                    0.5316774
23.0                                    0.5279494
23.5                                    0.5283301
24.0                                    0.527799
24.5                                    0.5300374
25.0                                    0.5259322
25.5                                    0.5272069
26.0                                    0.5311648
26.5                                    0.5244008
27.0                                    0.5330968
27.5                                    0.5303387
28.0                                    0.5156777
28.5                                    0.5283653
29.0                                    0.5222823
29.5                                    0.5332082
30.0                                    0.5317122
30.5                                    0.5284398
31.0                                    0.5281194
31.5                                    0.5263893
32.0                                    0.5185078
32.5                                    0.5278126
33.0                                    0.5162126
33.5                                    0.5276545
34.0                                    0.5243628
34.5                                    0.5222714
35.0                                    0.5265149
35.5                                    0.5174712
36.0                                    0.5240315
36.5                                    0.5187379
37.0                                    0.5208554
37.5                                    0.5195609
38.0                                    0.5237067
38.5                                    0.5247452
39.0                                    0.5262999
39.5                                    0.5182395
40.0                                    0.5219414
40.5                                    0.528271
41.0                                    0.5195449
41.5                                    0.520269
42.0                                    0.5202133
42.5                                    0.5131056
43.0                                    0.517896
43.5                                    0.5216614
44.0                                    0.5122587
44.5                                    0.519507
45.0                                    0.5183397
45.5                                    0.525729
46.0                                    0.5091111
46.5                                    0.5232223
47.0                                    0.5189481
47.5                                    0.520882
48.0                                    0.5132896
48.5                                    0.5052937
49.0                                    0.5152425
49.5                                    0.5081553
50.0                                    0.5085383


# Pore Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    5.9811866
0.02                                    5.8879324
0.03                                    6.7469419
0.04                                    12.010573
0.05                                    7.7958178
0.06                                    7.2600092
0.07                                    17.9676799
0.08                                    12.4864166
0.09                                    10.0983198
0.1                                     13.7045742
0.11                                    18.2181029
0.12                                    15.6542442
0.13                                    14.3527294
0.14                                    13.2316553
0.15                                    14.2146897
0.16                                    11.2874715
0.17                                    16.6807144
0.18                                    23.3733024
0.19                                    17.754282
0.2                                     19.6138774
0.21                                    17.9620488
0.22                                    12.840878
0.23                                    11.203063
0.24                                    15.5664962
0.25                                    12.5684023
0.26                                    15.3308776
0.27                                    14.1299564
0.28                                    22.3711648
0.29                                    13.7619796
0.3                                     13.2487605
0.31                                    18.3573994
0.32                                    13.3647189
0.33                                    14.1014294
0.34                                    19.7460383
0.35                                    14.7952626
0.36                                    11.2552739
0.37                                    15.5656751
0.38                                    22.6496844
0.39                                    16.4300584
0.4                                     23.9124394
0.41                                    16.7106001
0.42                                    17.506026
0.43                                    16.2613478
0.44                                    17.6273027
0.45                                    14.9867077
0.46                                    24.9587249
0.47                                    15.0552349
0.48                                    13.2438615
0.49                                    18.332299
0.5                                     20.9014411
0.51                                    17.1687367
0.52                                    21.6131419
0.53                                    28.8556281
0.54                                    21.9721225
0.55                                    18.8476419
0.56                                    22.7101072
0.57                                    19.9444457
0.58                                    21.0506347
0.59                                    17.8182056
0.6                                     17.5377648
0.61                                    15.8834932
0.62                                    15.2005992
0.63                                    26.7524298
0.64                                    25.7270999
0.65                                    23.4095715
0.66                                    21.5251398
0.67                                    26.4164946
0.68                                    24.8585946
0.69                                    29.9903836
0.7                                     24.938661
0.71                                    28.6462375
0.72                                    19.9799974
0.73                                    23.1509212
0.74                                    33.0073414
0.75                                    18.2238844
0.76                                    25.9212505
0.77                                    24.7826969
0.78                                    26.8885447
0.79                                    20.7159821
0.8                                     21.1070979
0.81                                    30.6023137
0.82                                    33.8552819
0.83                                    27.5428172
0.84                                    27.8493731
0.85                                    29.0222636
0.86                                    31.3268308
0.87                                    37.4894248
0.88                                    22.2015128
0.89                                    29.419172
0.9                                     37.5603189
0.91                                    25.3870804
0.92                                    40.5332592
0.93                                    29.2974054
0.94                                    33.0454545
0.95                                    41.5662165
0.96                                    39.8205052
0.97                                    40.9244337
0.98                                    45.0579216
0.99                                    48.8240511
1.0                                     56.9726804


# Throat Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    2.862734
0.02                                    5.6917905
0.03                                    4.5060071
0.04                                    6.784871
0.05                                    4.1218095
0.06                                    6.3749119
0.07                                    5.7727091
0.08                                    3.9096514
0.09                                    4.7112929
0.1                                     13.2615222
0.11                                    7.7549742
0.12                                    5.7409638
0.13                                    12.4520729
0.14                                    9.7631844
0.15                                    8.319845
0.16                                    12.2825042
0.17                                    17.1980169
0.18                                    8.0877858
0.19                                    16.3681886
0.2                                     12.5590578
0.21                                    14.4181237
0.22                                    9.099316
0.23                                    9.9408849
0.24                                    17.4483142
0.25                                    9.25342
0.26                                    17.0649375
0.27                                    13.1976236
0.28                                    15.9956655
0.29                                    13.1657819
0.3                                     18.5024969
0.31                                    8.1947408
0.32                                    18.3278455
0.33                                    20.2898233
0.34                                    10.0786119
0.35                                    13.7079729
0.36                                    21.8270247
0.37                                    15.0203153
0.38                                    12.0546888
0.39                                    10.9026629
0.4                                     12.6009453
0.41                                    16.5193006
0.42                                    16.1338857
0.43                                    22.6087371
0.44                                    17.9491371
0.45                                    20.7045447
0.46                                    17.8176749
0.47                                    16.029627
0.48                                    26.7982843
0.49                                    19.8998674
0.5                                     18.7006279
0.51                                    22.4677664
0.52                                    21.9280405
0.53                                    21.839792
0.54                                    27.6237794
0.55                                    19.043548
0.56                                    20.7338997
0.57                                    22.0343591
0.58                                    18.9016713
0.59                                    20.470004
0.6                                     22.1397418
0.61                                    23.3872058
0.62                                    28.9301425
0.63                                    23.5760602
0.64                                    30.4987278
0.65                                    19.4873342
0.66                                    22.6116908
0.67                                    32.8781673
0.68                                    23.1742691
0.69                                    28.8304387
0.7                                     29.3045233
0.71                                    23.3605274
0.72                                    33.8611515
0.73                                    22.4679741
0.74                                    30.8545108
0.75                                    27.7096583
0.76                                    22.2668615
0.77                                    28.7982498
0.78                                    28.9129596
0.79                                    27.6230307
0.8                                     27.359996
0.81                                    27.8950705
0.82                                    24.6796709
0.83                                    29.6889538
0.84                                    35.7002437
0.85                                    33.9970235
0.86                                    35.428612
0.87                                    37.7633984
0.88                                    33.2713894
0.89                                    34.8860747
0.9                                     37.1680958
0.91                                    40.6048851
0.92                                    38.7124361
0.93                                    40.6544234
0.94                                    36.4712983
0.95                                    44.9062202
0.96                                    45.464267
0.97                                    42.1749997
0.98                                    51.2356967
0.99                                    42.4768082
1.0                                     59.3922485


# Throat Lenght Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    10.3922876
0.02                                    19.0044422
0.03                                    22.7089526
0.04                                    28.7978788
0.05                                    19.1606175
0.06                                    25.6635563
0.07                                    27.5811813
0.08                                    34.5183907
0.09                                    26.7262254
0.1                                     25.3759003
0.11                                    30.8529552
0.12                                    27.6804895
0.13                                    31.0841685
0.14                                    34.1612782
0.15                                    35.1518677
0.16                                    30.7550692
0.17                                    43.1370988
0.18                                    23.4821398
0.19                                    35.8302102
0.2                                     37.3641089
0.21                                    37.1796617
0.22                                    26.8510087
0.23                                    25.233209
0.24                                    35.1031763
0.25                                    43.9082406
0.26                                    43.7121706
0.27                                    37.0716996
0.28                                    31.9284208
0.29                                    55.6022221
0.3                                     38.3317016
0.31                                    43.6615269
0.32                                    32.9776537
0.33                                    45.6481094
0.34                                    37.6936802
0.35                                    34.3181345
0.36                                    43.3296203
0.37                                    57.5354115
0.38                                    60.5562339
0.39                                    36.3536569
0.4                                     47.8696919
0.41                                    52.9409945
0.42                                    45.9704885
0.43                                    49.6288104
0.44                                    43.8529304
0.45                                    45.8400098
0.46                                    69.2766042
0.47                                    38.2576676
0.48                                    66.4730145
0.49                                    44.2022648
0.5                                     59.1485034
0.51                                    51.3419848
0.52                                    53.0002093
0.53                                    55.1135109
0.54                                    55.3707955
0.55                                    67.8050381
0.56                                    47.6819777
0.57                                    59.9369198
0.58                                    43.9120872
0.59                                    58.5720322
0.6                                     41.2850776
0.61                                    54.3675399
0.62                                    55.6327218
0.63                                    57.5793972
0.64                                    52.9741442
0.65                                    48.3550823
0.66                                    67.1092471
0.67                                    64.3453036
0.68                                    63.716698
0.69                                    62.1897928
0.7                                     70.0915866
0.71                                    69.7939311
0.72                                    63.5436995
0.73                                    66.262618
0.74                                    73.914129
0.75                                    76.5921136
0.76                                    75.7128483
0.77                                    67.2299167
0.78                                    69.3224365
0.79                                    59.1253409
0.8                                     63.0401401
0.81                                    71.3368605
0.82                                    65.8970939
0.83                                    67.8774076
0.84                                    86.7271167
0.85                                    74.5931051
0.86                                    94.4386085
0.87                                    73.4305397
0.88                                    87.8202027
