DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.4204198
Formation Factor (ratio)                2.4905918
Cementation Factor (ratio)              2.0858633
pore density (1/um3)                    0.0004443
Tortuosity (ratio)                      1.2267977
Average Coordination Number             5.3473547
Average Throat Radius (um)              3.7700543
Average Pore Radius (um)                4.6263582
Average Throat Length (um)              12.8496462
Pore to Throat Aspect ratio             13.0041261
Specific Surface (1/um)                 0.0005157
Pore Sphericity (ratio)                 8.7224738
Grain Sphericity (ratio)                0.7529087
Average Grain Radius (um)               2.4412139
Relative Young Module (ratio)           0.260146

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    4.8616349
0.02                                    5.6830447
0.03                                    4.6349955
0.04                                    4.8267801
0.05                                    5.4752441
0.06                                    5.3323854
0.07                                    5.0975356
0.08                                    4.0729912
0.09                                    4.6419782
0.1                                     5.3923371
0.11                                    4.3676572
0.12                                    3.3151608
0.13                                    4.3112144
0.14                                    4.5410997
0.15                                    3.8817054
0.16                                    3.2687544
0.17                                    2.8836002
0.18                                    2.8962361
0.19                                    3.1769805
0.2                                     2.3328439
0.21                                    3.156213
0.22                                    3.8798757
0.23                                    2.2017153
0.24                                    2.9586034
0.25                                    3.001622
0.26                                    2.0810528
0.27                                    1.7616255
0.28                                    3.1968743
0.29                                    2.4041971
0.3                                     2.4282175
0.31                                    1.5941705
0.32                                    1.8937061
0.33                                    2.155204
0.34                                    2.2862806
0.35                                    1.7904975
0.36                                    1.8587759
0.37                                    1.8847706
0.38                                    2.6765895
0.39                                    2.1015417
0.4                                     1.8254715
0.41                                    1.7221894
0.42                                    1.1604029
0.43                                    2.0983217
0.44                                    2.5804549
0.45                                    2.118563
0.46                                    1.6222052
0.47                                    2.0632756
0.48                                    2.602502
0.49                                    1.4490989
0.5                                     2.022327
0.51                                    2.212041
0.52                                    2.6863721
0.53                                    2.1746009
0.54                                    1.9449181
0.55                                    1.7967704
0.56                                    2.4779964
0.57                                    1.7475777
0.58                                    2.4248261
0.59                                    1.9789815
0.6                                     2.0574054
0.61                                    1.2482081
0.62                                    2.2771154
0.63                                    2.29174
0.64                                    1.1538607
0.65                                    1.1593608
0.66                                    2.174513
0.67                                    2.9245357
0.68                                    1.0036761
0.69                                    2.434422
0.7                                     1.9588422
0.71                                    1.5997288
0.72                                    2.1623452
0.73                                    1.639548
0.74                                    1.5870536
0.75                                    1.5256601
0.76                                    2.2971041
0.77                                    2.4507206
0.78                                    2.5086538
0.79                                    1.3033933
0.8                                     1.2383086
0.81                                    1.2443111
0.82                                    1.9177344
0.83                                    1.357538
0.84                                    1.2841942
0.85                                    1.6566491
0.86                                    2.4647914
0.87                                    2.1302627
0.88                                    1.1773187
0.89                                    2.4058742
0.9                                     1.4576523
0.91                                    2.5835858
0.92                                    1.8106373
0.93                                    1.5375801
0.94                                    1.3720847
0.95                                    1.6526914
0.96                                    1.1005616
0.97                                    1.5148495
0.98                                    1.6582049
0.99                                    1.8280537
1.0                                     0.7535268


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0036812
0.02                                    0.0025585
0.03                                    0.0072504
0.04                                    0.0111404
0.05                                    0.0115099
0.06                                    0.0036
0.07                                    0.0172907
0.08                                    0.0032851
0.09                                    0.0016118
0.1                                     0.0083722
0.11                                    0.0289654
0.12                                    0.0011743
0.13                                    0.020032
0.14                                    0.0053803
0.15                                    0.0365888
0.16                                    0.0021938
0.17                                    0.0030808
0.18                                    0.0024749
0.19                                    0.0081156
0.2                                     0.0043491
0.21                                    0.0021476
0.22                                    0.0196937
0.23                                    0.020722
0.24                                    0.0106383
0.25                                    0.0017482
0.26                                    0.0170365
0.27                                    0.007883
0.28                                    0.0749641
0.29                                    0.0339436
0.3                                     0.0216464
0.31                                    0.0102522
0.32                                    0.0312232
0.33                                    0.0156392
0.34                                    0.0270593
0.35                                    0.021882
0.36                                    0.0186008
0.37                                    0.0421705
0.38                                    0.0309754
0.39                                    0.0278436
0.4                                     0.0466502
0.41                                    0.0187475
0.42                                    0.0477257
0.43                                    0.031893
0.44                                    0.0113737
0.45                                    0.0210949
0.46                                    0.0264049
0.47                                    0.021924
0.48                                    0.0147331
0.49                                    0.0146136
0.5                                     0.005749
0.51                                    0.0147053
0.52                                    0.0084681
0.53                                    0.0150848
0.54                                    0.0337
0.55                                    0.0137541
0.56                                    0.0047786
0.57                                    0.0182432
0.58                                    0.0141826
0.59                                    0.0243772
0.6                                     0.0140626
0.61                                    0.0120112
0.62                                    0.0091125
0.63                                    0.00779
0.64                                    0.0143472
0.65                                    0.0076513
0.66                                    0.0098514
0.67                                    0.0147006
0.68                                    0.0122383
0.69                                    0.0144966
0.7                                     0.0107004
0.71                                    0.0083133
0.72                                    0.0150546
0.73                                    0.0145415
0.74                                    0.0115251
0.75                                    0.0149052
0.76                                    0.021107
0.77                                    0.008154
0.78                                    0.0139522
0.79                                    0.0159781
0.8                                     0.0048197
0.81                                    0.0231535
0.82                                    0.0157033
0.83                                    0.0249501
0.84                                    0.0206636
0.85                                    0.0714754
0.86                                    0.0510693
0.87                                    0.0246198
0.88                                    0.0270233
0.89                                    0.054139
0.9                                     0.073666
0.91                                    0.0452509
0.92                                    0.1170988
0.93                                    0.0911986
0.94                                    0.0489489
0.95                                    0.122797
0.96                                    0.0874825
0.97                                    0.1319774
0.98                                    0.1514682
0.99                                    0.1619334
1.0                                     0.9862326


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9970407
0.02                                    0.8617494
0.03                                    0.6304045
0.04                                    0.8315939
0.05                                    0.9266589
0.06                                    0.9124324
0.07                                    0.9438971
0.08                                    0.9373965
0.09                                    0.9705874
0.1                                     0.9826425
0.11                                    0.9692918
0.12                                    0.9571728
0.13                                    0.9497867
0.14                                    0.9361618
0.15                                    0.9748009
0.16                                    0.9556674
0.17                                    0.9786972
0.18                                    0.985287
0.19                                    0.9564274
0.2                                     0.958659
0.21                                    0.9128741
0.22                                    0.9488769
0.23                                    0.9607975
0.24                                    0.9369141
0.25                                    0.9433065
0.26                                    0.9323266
0.27                                    0.957968
0.28                                    0.9479318
0.29                                    0.8823742
0.3                                     0.9375693
0.31                                    0.9683156
0.32                                    0.914703
0.33                                    0.9553578
0.34                                    0.8893059
0.35                                    0.9038137
0.36                                    0.8678669
0.37                                    0.8150327
0.38                                    0.8722909
0.39                                    0.8836585
0.4                                     0.8917825
0.41                                    0.8339363
0.42                                    0.9365571
0.43                                    0.9383832
0.44                                    0.8985407
0.45                                    0.8227357
0.46                                    0.8694217
0.47                                    0.7779114
0.48                                    0.9043828
0.49                                    0.8204547
0.5                                     0.8387637
0.51                                    0.6973723
0.52                                    0.8029733
0.53                                    0.8569046
0.54                                    0.8655366
0.55                                    0.8744377
0.56                                    0.8097237
0.57                                    0.903711
0.58                                    0.8938199
0.59                                    0.8728223
0.6                                     0.8256686
0.61                                    0.9078216
0.62                                    0.9042569
0.63                                    0.8842386
0.64                                    0.8923012
0.65                                    0.8710569
0.66                                    0.8130653
0.67                                    0.6333947
0.68                                    0.8058934
0.69                                    0.7171066
0.7                                     0.8220316
0.71                                    0.7694029
0.72                                    0.6435217
0.73                                    0.7759358
0.74                                    0.598161
0.75                                    0.657866
0.76                                    0.6345083
0.77                                    0.6911232
0.78                                    0.7747023
0.79                                    0.4403078
0.8                                     0.8587202
0.81                                    0.6270012
0.82                                    0.7947764
0.83                                    0.8884536
0.84                                    0.7686713
0.85                                    0.8540232
0.86                                    0.9099469
0.87                                    0.8749472
0.88                                    0.7777092
0.89                                    0.7234402
0.9                                     0.77266
0.91                                    0.8247244
0.92                                    0.7937708
0.93                                    0.7536111
0.94                                    0.7831575
0.95                                    0.6296045
0.96                                    0.8812585
0.97                                    0.6111145
0.98                                    0.5068167
0.99                                    0.2322999
1.0                                     0.0049359


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.5411055
1.0                                     0.5411228
1.5                                     0.5410265
2.0                                     0.5409971
2.5                                     0.5409701
3.0                                     0.5409368
3.5                                     0.5409321
4.0                                     0.5409338
4.5                                     0.5406673
5.0                                     0.5404747
5.5                                     0.5408307
6.0                                     0.5403854
6.5                                     0.5403893
7.0                                     0.5406816
7.5                                     0.5407484
8.0                                     0.5400991
8.5                                     0.5400773
9.0                                     0.5402922
9.5                                     0.5400265
10.0                                    0.5407688
10.5                                    0.5402878
11.0                                    0.5398337
11.5                                    0.5398954
12.0                                    0.540596
12.5                                    0.5405072
13.0                                    0.5407359
13.5                                    0.5391876
14.0                                    0.5399211
14.5                                    0.5406138
15.0                                    0.5404309
15.5                                    0.5405637
16.0                                    0.5403811
16.5                                    0.5399073
17.0                                    0.5399505
17.5                                    0.53889
18.0                                    0.5397524
18.5                                    0.5397472
19.0                                    0.5397934
19.5                                    0.5399956
20.0                                    0.5398717
20.5                                    0.5391185
21.0                                    0.5405391
21.5                                    0.5396308
22.0                                    0.5398515
22.5                                    0.5390792
23.0                                    0.5392326
23.5                                    0.5393908
24.0                                    0.539762
24.5                                    0.5396848
25.0                                    0.5391518
25.5                                    0.5395511
26.0                                    0.5400985
26.5                                    0.538891
27.0                                    0.5397353
27.5                                    0.538967
28.0                                    0.5384578
28.5                                    0.5398273
29.0                                    0.5382768
29.5                                    0.5404697
