DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0142622
Formation Factor (ratio)                26.3346331
Cementation Factor (ratio)              2.2065701
pore density (1/um3)                    0.0014747
Tortuosity (ratio)                      1.4737588
Average Coordination Number             3.2977863
Average Throat Radius (um)              1.8744732
Average Pore Radius (um)                2.6704856
Average Throat Length (um)              7.6931958
Pore to Throat Aspect ratio             5.1981746
Specific Surface (1/um)                 0.0001663
Pore Sphericity (ratio)                 3.7997827
Grain Sphericity (ratio)                0.7773413
Average Grain Radius (um)               4.4014669
Relative Young Module (ratio)           0.2611828

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.3772631
0.02                                    1.3118693
0.03                                    1.356016
0.04                                    1.3261118
0.05                                    1.233026
0.06                                    1.3583427
0.07                                    1.3846019
0.08                                    1.2563919
0.09                                    1.2683417
0.1                                     1.2609792
0.11                                    1.2824438
0.12                                    1.1541056
0.13                                    1.2466253
0.14                                    1.2468035
0.15                                    1.208556
0.16                                    1.3039135
0.17                                    1.4434854
0.18                                    1.2608764
0.19                                    1.1203
0.2                                     1.1645712
0.21                                    1.2779246
0.22                                    1.2590023
0.23                                    1.1620931
0.24                                    1.1140561
0.25                                    1.1847972
0.26                                    1.1577416
0.27                                    1.0369496
0.28                                    1.1208411
0.29                                    1.0952631
0.3                                     1.084323
0.31                                    1.0443948
0.32                                    1.2018229
0.33                                    1.2732998
0.34                                    1.1237228
0.35                                    1.0725631
0.36                                    1.1175897
0.37                                    0.9829007
0.38                                    1.1207046
0.39                                    1.2756287
0.4                                     1.1960661
0.41                                    1.070818
0.42                                    1.2216972
0.43                                    1.0582842
0.44                                    1.033028
0.45                                    1.2194027
0.46                                    1.237323
0.47                                    1.3149255
0.48                                    1.141566
0.49                                    1.1117014
0.5                                     1.1462895
0.51                                    1.093249
0.52                                    1.0977959
0.53                                    1.0287786
0.54                                    1.1667287
0.55                                    1.2543424
0.56                                    1.204794
0.57                                    1.1524383
0.58                                    1.0337357
0.59                                    1.130984
0.6                                     1.0666507
0.61                                    1.0721778
0.62                                    1.1428678
0.63                                    1.3163639
0.64                                    0.9303081
0.65                                    1.0281623
0.66                                    1.0776672
0.67                                    1.1544211
0.68                                    1.126047
0.69                                    1.0602027
0.7                                     1.2222465
0.71                                    1.1562329
0.72                                    1.2833184
0.73                                    1.1187559
0.74                                    1.1219387
0.75                                    0.986168
0.76                                    0.9879666
0.77                                    1.1512546
0.78                                    0.9884454
0.79                                    1.0914279
0.8                                     0.9696606
0.81                                    0.9868034
0.82                                    1.0622804
0.83                                    1.0198262
0.84                                    0.9284496
0.85                                    1.0526894
0.86                                    1.1450342
0.87                                    0.9961177
0.88                                    0.9555927
0.89                                    1.1117508
0.9                                     0.9811808
0.91                                    0.9911814
0.92                                    1.0718241
0.93                                    0.9328776
0.94                                    0.9977974
0.95                                    0.8677118
0.96                                    0.9377128
0.97                                    0.925679
0.98                                    0.7673997
0.99                                    0.7685834
1.0                                     0.4559168


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0240608
0.02                                    0.0261027
0.03                                    0.0178583
0.04                                    0.020289
0.05                                    0.018642
0.06                                    0.0232853
0.07                                    0.0203929
0.08                                    0.0221814
0.09                                    0.0189304
0.1                                     0.0142481
0.11                                    0.020608
0.12                                    0.0184522
0.13                                    0.0246487
0.14                                    0.0248193
0.15                                    0.0199018
0.16                                    0.0214685
0.17                                    0.0232694
0.18                                    0.0327448
0.19                                    0.0193817
0.2                                     0.0306959
0.21                                    0.032581
0.22                                    0.0183858
0.23                                    0.0187616
0.24                                    0.0318137
0.25                                    0.0423483
0.26                                    0.0419845
0.27                                    0.0431399
0.28                                    0.0390366
0.29                                    0.0537643
0.3                                     0.039407
0.31                                    0.0612225
0.32                                    0.066081
0.33                                    0.0694845
0.34                                    0.0515958
0.35                                    0.0576776
0.36                                    0.0825313
0.37                                    0.0701982
0.38                                    0.089481
0.39                                    0.1139229
0.4                                     0.1077511
0.41                                    0.1037422
0.42                                    0.1100685
0.43                                    0.1200748
0.44                                    0.0983537
0.45                                    0.1240776
0.46                                    0.1205651
0.47                                    0.1339211
0.48                                    0.1326655
0.49                                    0.1597678
0.5                                     0.1860564
0.51                                    0.1667191
0.52                                    0.1479922
0.53                                    0.1822806
0.54                                    0.2104906
0.55                                    0.2055214
0.56                                    0.2112219
0.57                                    0.2211234
0.58                                    0.217547
0.59                                    0.2040596
0.6                                     0.2319449
0.61                                    0.2528353
0.62                                    0.2926803
0.63                                    0.2511545
0.64                                    0.2906121
0.65                                    0.2706505
0.66                                    0.2997594
0.67                                    0.2800627
0.68                                    0.3331107
0.69                                    0.2810016
0.7                                     0.3720594
0.71                                    0.3223772
0.72                                    0.3501379
0.73                                    0.3717273
0.74                                    0.3617814
0.75                                    0.3672296
0.76                                    0.3660848
0.77                                    0.4141076
0.78                                    0.4456506
0.79                                    0.4074575
0.8                                     0.4434898
0.81                                    0.4620347
0.82                                    0.4767807
0.83                                    0.4558134
0.84                                    0.4579964
0.85                                    0.5062439
0.86                                    0.4985823
0.87                                    0.5017117
0.88                                    0.5170567
0.89                                    0.5304382
0.9                                     0.5554304
0.91                                    0.5848575
0.92                                    0.615168
0.93                                    0.6105214
0.94                                    0.6646142
0.95                                    0.673406
0.96                                    0.6869376
0.97                                    0.689073
0.98                                    0.7514216
0.99                                    0.7623168
1.0                                     0.9820697


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9790933
0.02                                    0.9484916
0.03                                    0.9484758
0.04                                    0.9282914
0.05                                    0.9250395
0.06                                    0.896631
0.07                                    0.8707957
0.08                                    0.8645939
0.09                                    0.8690287
0.1                                     0.8530506
0.11                                    0.8208111
0.12                                    0.8097225
0.13                                    0.7931802
0.14                                    0.7621774
0.15                                    0.7871339
0.16                                    0.7407824
0.17                                    0.7559791
0.18                                    0.7553551
0.19                                    0.7236185
0.2                                     0.7228546
0.21                                    0.7096205
0.22                                    0.698194
0.23                                    0.6889274
0.24                                    0.6577548
0.25                                    0.6823308
0.26                                    0.6768998
0.27                                    0.6465469
0.28                                    0.6333011
0.29                                    0.6282978
0.3                                     0.6035477
0.31                                    0.6011587
0.32                                    0.5903786
0.33                                    0.5920298
0.34                                    0.5912851
0.35                                    0.5606387
0.36                                    0.5753043
0.37                                    0.5689363
0.38                                    0.5734205
0.39                                    0.5736035
0.4                                     0.5417466
0.41                                    0.5682597
0.42                                    0.5746162
0.43                                    0.5459267
0.44                                    0.5424588
0.45                                    0.5358357
0.46                                    0.5515833
0.47                                    0.5127051
0.48                                    0.5321632
0.49                                    0.5194501
0.5                                     0.5381812
0.51                                    0.5289708
0.52                                    0.4875178
0.53                                    0.4908555
0.54                                    0.4666127
0.55                                    0.4650156
0.56                                    0.4664683
0.57                                    0.4567001
0.58                                    0.4736778
0.59                                    0.4617374
0.6                                     0.4409678
0.61                                    0.4417688
0.62                                    0.438913
0.63                                    0.4316038
0.64                                    0.430213
0.65                                    0.4595114
0.66                                    0.4212625
0.67                                    0.41658
0.68                                    0.3863592
0.69                                    0.3803903
0.7                                     0.3791131
0.71                                    0.3986794
0.72                                    0.3316124
0.73                                    0.3449722
0.74                                    0.3488929
0.75                                    0.320527
0.76                                    0.3255988
0.77                                    0.2850797
0.78                                    0.3222246
0.79                                    0.2482131
0.8                                     0.2875563
0.81                                    0.2575645
0.82                                    0.2416811
0.83                                    0.2258322
0.84                                    0.2271124
0.85                                    0.2186949
0.86                                    0.1886375
0.87                                    0.199178
0.88                                    0.1849441
0.89                                    0.1677334
0.9                                     0.1679729
0.91                                    0.1564813
0.92                                    0.1166911
0.93                                    0.1119635
0.94                                    0.0891466
0.95                                    0.0790004
0.96                                    0.0768604
0.97                                    0.0554874
0.98                                    0.0453209
0.99                                    0.0478464
1.0                                     0.0321437


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.2263195
1.0                                     0.2251821
1.5                                     0.2291881
2.0                                     0.2288604
2.5                                     0.2231712
3.0                                     0.2418157
3.5                                     0.2117661
4.0                                     0.2066194
4.5                                     0.1980012
5.0                                     0.1969998
5.5                                     0.2128655
6.0                                     0.2106295
6.5                                     0.1889519
7.0                                     0.1831431
7.5                                     0.2075073
8.0                                     0.1906131
8.5                                     0.1842001
9.0                                     0.1830765
9.5                                     0.1685914
10.0                                    0.1740544
10.5                                    0.1743136
11.0                                    0.171948
11.5                                    0.167854
12.0                                    0.1744942
12.5                                    0.1690905
13.0                                    0.155574
13.5                                    0.1496597
14.0                                    0.1519815
14.5                                    0.1497051
15.0                                    0.1498377
15.5                                    0.151775
16.0                                    0.1647471
16.5                                    0.1466158
17.0                                    0.1431867
17.5                                    0.1505339
18.0                                    0.1491301
18.5                                    0.1267207
19.0                                    0.1362826
19.5                                    0.1312531
20.0                                    0.1411641
20.5                                    0.1394319
21.0                                    0.136374
21.5                                    0.1418716
22.0                                    0.1282757
22.5                                    0.1328869
23.0                                    0.1255114
23.5                                    0.1342837
24.0                                    0.1268737
24.5                                    0.128695
25.0                                    0.1195957
25.5                                    0.1262301
26.0                                    0.116621
26.5                                    0.1357546
27.0                                    0.1170892
27.5                                    0.1139082
28.0                                    0.1237467
28.5                                    0.1213325
29.0                                    0.1188021
29.5                                    0.1219261
30.0                                    0.1155455
30.5                                    0.1161341
31.0                                    0.1118219
31.5                                    0.1124727
32.0                                    0.1181254
32.5                                    0.1191956
33.0                                    0.1053929
33.5                                    0.1090662
34.0                                    0.1210292
34.5                                    0.1015837
35.0                                    0.1160163
35.5                                    0.1189885
36.0                                    0.1141008
36.5                                    0.1116373
37.0                                    0.1140784
37.5                                    0.1059902
38.0                                    0.1173264
38.5                                    0.1006797
39.0                                    0.0989613
39.5                                    0.1096548
40.0                                    0.1132671
40.5                                    0.1195215
41.0                                    0.101815
41.5                                    0.1163788
42.0                                    0.1056007
42.5                                    0.1112968
43.0                                    0.1064402
43.5                                    0.1085146
44.0                                    0.0996137
44.5                                    0.0990572
45.0                                    0.1022134
45.5                                    0.1145232
46.0                                    0.1021395
46.5                                    0.1025556
47.0                                    0.1032623
47.5                                    0.1062977
48.0                                    0.1129359
48.5                                    0.0882433
49.0                                    0.1005442
49.5                                    0.1005225
50.0                                    0.1113304


# Pore Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    3.9418832
0.02                                    5.1115456
0.03                                    5.429604
0.04                                    7.5746209
0.05                                    6.4608949
0.06                                    7.6040859
0.07                                    8.2933211
0.08                                    7.9749379
0.09                                    8.0082139
0.1                                     8.642562
0.11                                    9.1048554
0.12                                    9.9645681
0.13                                    9.2691808
0.14                                    10.1383677
0.15                                    11.4082592
0.16                                    12.3746783
0.17                                    11.0958512
0.18                                    10.1201974
0.19                                    11.1771203
0.2                                     10.7270423
0.21                                    11.1852211
0.22                                    10.4991437
0.23                                    11.8684444
0.24                                    11.0913164
0.25                                    12.7084043
0.26                                    12.823682
0.27                                    11.4252506
0.28                                    12.8071392
0.29                                    11.8551263
0.3                                     12.106219
0.31                                    12.1740287
0.32                                    12.6920275
0.33                                    12.3373267
0.34                                    12.0558584
0.35                                    13.5978826
0.36                                    13.6549714
0.37                                    11.7591647
0.38                                    12.5205298
0.39                                    12.2367716
0.4                                     14.1120659
0.41                                    13.5651024
0.42                                    14.0606246
0.43                                    13.9907708
0.44                                    12.8739123
0.45                                    14.2471744
0.46                                    14.2835297
0.47                                    15.6367307
0.48                                    15.8097386
0.49                                    14.6177117
0.5                                     14.7355591
0.51                                    13.275449
0.52                                    14.9677539
0.53                                    14.1564329
0.54                                    14.4827839
0.55                                    15.2109889
0.56                                    15.2328885
0.57                                    15.2567597
0.58                                    14.2176043
0.59                                    15.6640376
0.6                                     15.1420315
0.61                                    14.9072789
0.62                                    17.5676505
0.63                                    16.3657055
0.64                                    15.678374
0.65                                    16.5959362
0.66                                    17.5310604
0.67                                    15.351991
0.68                                    16.447715
0.69                                    15.4044157
0.7                                     16.0390215
0.71                                    17.1209156
0.72                                    17.0915216
0.73                                    17.2458931
0.74                                    17.7049067
0.75                                    16.1347868
0.76                                    16.8875528
0.77                                    18.7828449
0.78                                    17.7398364
0.79                                    16.9040498
0.8                                     16.4835382
0.81                                    16.8529003
0.82                                    17.0049691
0.83                                    19.1151783
0.84                                    18.2353448
0.85                                    19.5345431
0.86                                    17.9739642
0.87                                    18.909516
0.88                                    18.4390053
0.89                                    19.3570454
0.9                                     19.8985383
0.91                                    19.7126738
0.92                                    20.307118
0.93                                    20.285489
0.94                                    21.1849002
0.95                                    21.4557594
0.96                                    21.2332846
0.97                                    20.8362166
0.98                                    21.6907056
0.99                                    21.9010541
1.0                                     27.2399255


# Throat Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    2.7540785
0.02                                    4.5319363
0.03                                    4.2253562
0.04                                    5.9887834
0.05                                    6.2096475
0.06                                    5.7874128
0.07                                    6.3279201
0.08                                    7.0767123
0.09                                    6.5959001
0.1                                     7.4744248
0.11                                    6.5443706
0.12                                    7.1277719
0.13                                    7.3693538
0.14                                    6.9117188
0.15                                    7.1388702
0.16                                    7.778215
0.17                                    7.9285985
0.18                                    8.0303939
0.19                                    9.0965401
0.2                                     7.8497697
0.21                                    7.4934477
0.22                                    8.4328243
0.23                                    9.4463072
0.24                                    9.2178778
0.25                                    8.3052423
0.26                                    9.163194
0.27                                    10.2351061
0.28                                    9.9466883
0.29                                    10.0543022
0.3                                     9.60037
0.31                                    11.8190382
0.32                                    10.0160366
0.33                                    9.1721991
0.34                                    11.2818046
0.35                                    9.4715434
