DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0876467
Formation Factor (ratio)                8.4342672
Cementation Factor (ratio)              2.1481134
pore density (1/um3)                    0.001768
Tortuosity (ratio)                      1.3293483
Average Coordination Number             3.8933105
Average Throat Radius (um)              2.0463639
Average Pore Radius (um)                2.9290746
Average Throat Length (um)              8.1580146
Pore to Throat Aspect ratio             6.6584538
Specific Surface (1/um)                 0.0002665
Pore Sphericity (ratio)                 4.1748227
Grain Sphericity (ratio)                0.801281
Average Grain Radius (um)               3.7188045
Relative Young Module (ratio)           0.1448273

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.3241148
0.02                                    2.2136395
0.03                                    2.0569936
0.04                                    1.980559
0.05                                    1.8590813
0.06                                    1.8475627
0.07                                    1.9102891
0.08                                    1.7478747
0.09                                    1.5818078
0.1                                     1.7269107
0.11                                    1.7819673
0.12                                    1.7270853
0.13                                    1.6362886
0.14                                    1.6666483
0.15                                    1.5122136
0.16                                    1.6054003
0.17                                    1.7407647
0.18                                    1.6446031
0.19                                    1.4850716
0.2                                     1.6235672
0.21                                    1.4966229
0.22                                    1.4546219
0.23                                    1.5647575
0.24                                    1.5334937
0.25                                    1.4233891
0.26                                    1.6327633
0.27                                    1.5787906
0.28                                    1.5236932
0.29                                    1.5687818
0.3                                     1.4978672
0.31                                    1.5502492
0.32                                    1.5435961
0.33                                    1.4771128
0.34                                    1.4593304
0.35                                    1.5339182
0.36                                    1.6439738
0.37                                    1.4780005
0.38                                    1.4138822
0.39                                    1.5900612
0.4                                     1.510076
0.41                                    1.5475241
0.42                                    1.55805
0.43                                    1.5420116
0.44                                    1.4961165
0.45                                    1.6115047
0.46                                    1.436692
0.47                                    1.5040458
0.48                                    1.66031
0.49                                    1.5621356
0.5                                     1.4472114
0.51                                    1.4568819
0.52                                    1.4461083
0.53                                    1.5292292
0.54                                    1.4587156
0.55                                    1.3065871
0.56                                    1.4046235
0.57                                    1.4561455
0.58                                    1.4188043
0.59                                    1.5783342
0.6                                     1.4559427
0.61                                    1.4333204
0.62                                    1.2168796
0.63                                    1.4797268
0.64                                    1.4516959
0.65                                    1.6164116
0.66                                    1.4568034
0.67                                    1.4849185
0.68                                    1.3445833
0.69                                    1.4050572
0.7                                     1.4158594
0.71                                    1.3864086
