DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.7066547
Formation Factor (ratio)                3.6625806
Cementation Factor (ratio)              2.1107434
pore density (1/um3)                    0.0010363
Tortuosity (ratio)                      1.2957891
Average Coordination Number             4.1883782
Average Throat Radius (um)              2.9980567
Average Pore Radius (um)                3.640856
Average Throat Length (um)              10.7854766
Pore to Throat Aspect ratio             9.3154404
Specific Surface (1/um)                 0.0002834
Pore Sphericity (ratio)                 6.6515142
Grain Sphericity (ratio)                0.7617329
Average Grain Radius (um)               3.3388073
Relative Young Module (ratio)           0.1786108

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    3.0658004
0.02                                    3.0308334
0.03                                    2.8550339
0.04                                    2.6211753
0.05                                    2.631817
0.06                                    2.453213
0.07                                    2.131575
0.08                                    2.6839784
0.09                                    2.2978121
0.1                                     2.1605588
0.11                                    2.3171139
0.12                                    2.056677
0.13                                    2.3389163
0.14                                    2.289919
0.15                                    1.9530503
0.16                                    1.9728171
0.17                                    2.1007459
0.18                                    2.0806972
0.19                                    1.8873833
0.2                                     2.0279096
0.21                                    2.1559331
0.22                                    1.8146052
0.23                                    1.8845533
0.24                                    1.7692565
0.25                                    1.9122432
0.26                                    2.1001362
0.27                                    1.7998276
0.28                                    1.9901159
0.29                                    1.7294172
0.3                                     1.9814271
0.31                                    1.7986631
0.32                                    1.7695268
0.33                                    1.8765339
0.34                                    1.7458242
0.35                                    1.7246664
0.36                                    1.6361818
0.37                                    1.7494787
0.38                                    1.8432556
0.39                                    1.5375407
0.4                                     1.7691638
0.41                                    1.7174062
0.42                                    1.7159078
0.43                                    1.800373
0.44                                    1.7887816
0.45                                    1.6883933
0.46                                    1.6697002
0.47                                    1.6937642
0.48                                    1.4800601
0.49                                    1.9921384
0.5                                     1.5906394
0.51                                    1.8514079
0.52                                    1.8863536
0.53                                    1.6288151
0.54                                    1.8873076
0.55                                    1.8986634
0.56                                    1.7984561
0.57                                    1.7146543
0.58                                    1.9962241
0.59                                    1.7831426
0.6                                     1.3358226
0.61                                    1.4771727
0.62                                    1.6702169
0.63                                    1.7723995
0.64                                    1.7795348
0.65                                    1.7621092
0.66                                    1.7630049
0.67                                    1.7496729
0.68                                    1.5349426
0.69                                    1.7912654
0.7                                     1.7166629
0.71                                    1.3703377
0.72                                    1.7209684
0.73                                    1.4891658
0.74                                    1.5818555
0.75                                    1.493724
0.76                                    1.4919185
0.77                                    1.6050474
0.78                                    1.5001932
0.79                                    1.6300294
0.8                                     1.6302765
0.81                                    1.523863
0.82                                    1.6461155
0.83                                    1.3775503
0.84                                    1.6686951
0.85                                    1.397509
0.86                                    1.6648121
0.87                                    1.4795637
0.88                                    1.2156654
0.89                                    1.4316528
0.9                                     1.3457774
0.91                                    1.6122038
0.92                                    1.4391069
0.93                                    1.5389489
0.94                                    1.3619794
0.95                                    1.592667
0.96                                    1.2164199
0.97                                    1.3354262
0.98                                    1.1686638
0.99                                    1.272497
1.0                                     0.9216181


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0136686
0.02                                    0.0162772
0.03                                    0.0269532
0.04                                    0.0201503
0.05                                    0.0238866
0.06                                    0.0133149
0.07                                    0.0327231
0.08                                    0.0134005
0.09                                    0.012202
0.1                                     0.0292367
0.11                                    0.0282695
0.12                                    0.0130661
0.13                                    0.0164512
0.14                                    0.0196703
0.15                                    0.0307946
0.16                                    0.0140339
0.17                                    0.0150185
0.18                                    0.0167721
0.19                                    0.0252706
0.2                                     0.0160391
0.21                                    0.0157538
0.22                                    0.0373414
0.23                                    0.0323886
0.24                                    0.0335781
0.25                                    0.0125952
0.26                                    0.0223385
0.27                                    0.0304222
0.28                                    0.0474552
0.29                                    0.0429771
0.3                                     0.0453352
0.31                                    0.0349815
0.32                                    0.0717441
0.33                                    0.0570132
0.34                                    0.0780737
0.35                                    0.052747
0.36                                    0.0664685
0.37                                    0.0890178
0.38                                    0.0619137
0.39                                    0.069782
0.4                                     0.0797244
0.41                                    0.0871938
0.42                                    0.0733755
0.43                                    0.1099335
0.44                                    0.0735255
0.45                                    0.0829344
0.46                                    0.096626
0.47                                    0.0820787
0.48                                    0.0812139
0.49                                    0.1097366
0.5                                     0.117766
0.51                                    0.0831889
0.52                                    0.0882385
0.53                                    0.0798691
0.54                                    0.1216142
0.55                                    0.1045255
0.56                                    0.1110871
0.57                                    0.1159015
0.58                                    0.1374941
0.59                                    0.1268288
0.6                                     0.114753
0.61                                    0.1440614
0.62                                    0.1236057
0.63                                    0.1280294
0.64                                    0.127553
0.65                                    0.1167254
0.66                                    0.1463436
0.67                                    0.1546794
0.68                                    0.1704169
0.69                                    0.1610543
0.7                                     0.1826029
0.71                                    0.1682192
0.72                                    0.1822174
0.73                                    0.2022773
0.74                                    0.1807654
0.75                                    0.2057688
0.76                                    0.2164949
0.77                                    0.2336522
0.78                                    0.2318436
0.79                                    0.2753267
0.8                                     0.2398407
0.81                                    0.2700751
0.82                                    0.2719473
0.83                                    0.2522337
0.84                                    0.3462483
0.85                                    0.3903576
0.86                                    0.3911816
0.87                                    0.3546805
0.88                                    0.3466932
0.89                                    0.3617047
0.9                                     0.4079692
0.91                                    0.426771
0.92                                    0.4614606
0.93                                    0.4449654
0.94                                    0.4341511
0.95                                    0.4267557
0.96                                    0.436541
0.97                                    0.5154126
0.98                                    0.5078338
0.99                                    0.5193004
1.0                                     0.9781387


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.986663
0.02                                    0.9073619
0.03                                    0.8356947
0.04                                    0.8322868
0.05                                    0.8495212
0.06                                    0.8349215
0.07                                    0.8142753
0.08                                    0.8589277
0.09                                    0.8754271
0.1                                     0.8312516
0.11                                    0.8341274
0.12                                    0.8051331
0.13                                    0.7886009
0.14                                    0.74139
0.15                                    0.8046059
0.16                                    0.7590655
0.17                                    0.7802764
0.18                                    0.8068459
0.19                                    0.7886664
0.2                                     0.7780743
0.21                                    0.776212
0.22                                    0.7447792
0.23                                    0.7582409
0.24                                    0.7624795
0.25                                    0.725287
0.26                                    0.7358151
0.27                                    0.7231477
0.28                                    0.7278575
0.29                                    0.6860158
0.3                                     0.6913483
0.31                                    0.7090634
0.32                                    0.6657227
0.33                                    0.7053301
0.34                                    0.6709695
0.35                                    0.6846633
0.36                                    0.6373216
0.37                                    0.6988072
0.38                                    0.6696175
0.39                                    0.6601291
0.4                                     0.6293975
0.41                                    0.6305956
0.42                                    0.6495966
0.43                                    0.6543935
0.44                                    0.5886512
0.45                                    0.5945793
0.46                                    0.6047118
0.47                                    0.6123556
0.48                                    0.6041117
0.49                                    0.5732452
0.5                                     0.62535
0.51                                    0.5820873
0.52                                    0.5953747
0.53                                    0.6121762
0.54                                    0.5751691
0.55                                    0.5782013
0.56                                    0.5811101
0.57                                    0.5862399
0.58                                    0.6148399
0.59                                    0.5569428
0.6                                     0.5428146
0.61                                    0.5488299
0.62                                    0.5697687
0.63                                    0.5564684
0.64                                    0.5596249
0.65                                    0.4745584
