DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0026299
Formation Factor (ratio)                59.9098454
Cementation Factor (ratio)              2.4218944
pore density (1/um3)                    0.0023171
Tortuosity (ratio)                      1.5547162
Average Coordination Number             2.6038808
Average Throat Radius (um)              1.337418
Average Pore Radius (um)                2.0906544
Average Throat Length (um)              6.5724961
Pore to Throat Aspect ratio             3.7731298
Specific Surface (1/um)                 0.0001614
Pore Sphericity (ratio)                 2.5673227
Grain Sphericity (ratio)                0.7991145
Average Grain Radius (um)               4.2194587
Relative Young Module (ratio)           0.3157321

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.0764816
0.02                                    1.3221573
0.03                                    1.1987644
0.04                                    1.1126931
0.05                                    1.1566484
0.06                                    1.1507022
0.07                                    1.0776492
0.08                                    1.0963217
0.09                                    1.165681
0.1                                     1.0448542
0.11                                    1.0330222
0.12                                    1.053221
0.13                                    0.9698449
0.14                                    0.9618264
0.15                                    1.0644534
0.16                                    0.9601293
0.17                                    0.9791272
0.18                                    0.9532942
0.19                                    0.9863339
0.2                                     0.9386806
0.21                                    1.0722946
0.22                                    1.0929048
0.23                                    0.9776905
0.24                                    0.9390803
0.25                                    0.957585
0.26                                    0.9131515
0.27                                    0.9620014
0.28                                    0.98791
0.29                                    0.8701061
0.3                                     0.9462614
0.31                                    0.8738363
0.32                                    0.8535707
0.33                                    0.911577
0.34                                    0.9214035
0.35                                    0.8692334
0.36                                    0.8502472
0.37                                    0.9133408
0.38                                    0.9271974
0.39                                    0.9629038
0.4                                     1.0275035
0.41                                    0.9564545
0.42                                    0.9049301
0.43                                    0.948293
0.44                                    0.8351359
0.45                                    0.8495462
0.46                                    0.8866642
0.47                                    0.9006066
0.48                                    0.9112993
0.49                                    0.8628203
0.5                                     0.8722074
0.51                                    0.8143903
0.52                                    0.832998
0.53                                    0.8664161
0.54                                    0.8355884
0.55                                    0.9104609
0.56                                    0.8059732
0.57                                    0.8448534
0.58                                    0.8665262
0.59                                    0.8875736
0.6                                     0.9072876
0.61                                    0.8234983
0.62                                    0.8936131
0.63                                    0.8012514
0.64                                    0.8985543
0.65                                    0.8682687
0.66                                    0.7890349
0.67                                    0.8521247
0.68                                    0.8354254
0.69                                    0.8099405
0.7                                     0.8443559
0.71                                    0.8620876
0.72                                    0.9575344
0.73                                    0.7585297
0.74                                    0.8433998
0.75                                    0.7994077
0.76                                    0.8443508
0.77                                    0.8616686
0.78                                    0.8482308
0.79                                    0.7779184
0.8                                     0.7439399
0.81                                    0.7879997
0.82                                    0.8008182
0.83                                    0.8534093
0.84                                    0.7957197
0.85                                    0.9072034
0.86                                    0.8051524
0.87                                    0.7769439
0.88                                    0.785079
0.89                                    0.7552605
0.9                                     0.6616907
0.91                                    0.7410694
0.92                                    0.717259
0.93                                    0.6580182
0.94                                    0.6605438
0.95                                    0.6680788
0.96                                    0.7337872
0.97                                    0.7314117
0.98                                    0.6561102
0.99                                    0.5916591
1.0                                     0.4068812


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0201491
0.02                                    0.0168072
0.03                                    0.0153804
0.04                                    0.0151326
0.05                                    0.0158922
0.06                                    0.0228718
0.07                                    0.0105181
0.08                                    0.0198967
0.09                                    0.0157915
0.1                                     0.0134616
0.11                                    0.0108456
0.12                                    0.0169479
0.13                                    0.0160508
0.14                                    0.0215396
0.15                                    0.0088904
0.16                                    0.0211594
0.17                                    0.0143056
0.18                                    0.0245135
0.19                                    0.015059
0.2                                     0.0194213
0.21                                    0.0210313
0.22                                    0.0116409
0.23                                    0.0127908
0.24                                    0.0232506
0.25                                    0.0292333
0.26                                    0.0273406
0.27                                    0.0315009
0.28                                    0.0236454
0.29                                    0.0370988
0.3                                     0.0444746
0.31                                    0.0451635
0.32                                    0.0503067
0.33                                    0.0539881
0.34                                    0.0491632
0.35                                    0.0495257
0.36                                    0.0563465
0.37                                    0.0652806
0.38                                    0.0697658
0.39                                    0.0820003
0.4                                     0.0886649
0.41                                    0.0940787
0.42                                    0.0912281
0.43                                    0.091071
0.44                                    0.0899936
0.45                                    0.1251468
0.46                                    0.1274042
0.47                                    0.1140294
0.48                                    0.1319101
0.49                                    0.1194377
0.5                                     0.1472805
0.51                                    0.1436034
0.52                                    0.1621793
0.53                                    0.1340932
0.54                                    0.1545181
0.55                                    0.1701055
0.56                                    0.1684885
0.57                                    0.1923641
0.58                                    0.2046996
0.59                                    0.2060409
0.6                                     0.1958229
0.61                                    0.2379436
0.62                                    0.2392977
0.63                                    0.2500315
0.64                                    0.2365799
0.65                                    0.2382845
0.66                                    0.2573103
0.67                                    0.2448142
0.68                                    0.2688916
0.69                                    0.2585235
0.7                                     0.2646272
0.71                                    0.2911833
0.72                                    0.2852268
0.73                                    0.3021172
0.74                                    0.3313048
0.75                                    0.3318919
0.76                                    0.3433239
0.77                                    0.342174
0.78                                    0.3615993
0.79                                    0.3647709
