DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0494808
Formation Factor (ratio)                10.6979798
Cementation Factor (ratio)              2.106024
pore density (1/um3)                    0.0018264
Tortuosity (ratio)                      1.3574767
Average Coordination Number             3.8659009
Average Throat Radius (um)              1.9812681
Average Pore Radius (um)                2.8684694
Average Throat Length (um)              8.2479162
Pore to Throat Aspect ratio             6.0925824
Specific Surface (1/um)                 0.0002584
Pore Sphericity (ratio)                 3.9345992
Grain Sphericity (ratio)                0.7980532
Average Grain Radius (um)               4.0905467
Relative Young Module (ratio)           0.1367716

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.0307288
0.02                                    1.7822575
0.03                                    1.7955667
0.04                                    1.6139666
0.05                                    1.7532596
0.06                                    1.6743092
0.07                                    1.7733708
0.08                                    1.7364089
0.09                                    1.5806313
0.1                                     1.5516935
0.11                                    1.5730573
0.12                                    1.6629298
0.13                                    1.6156331
0.14                                    1.5746966
0.15                                    1.4795892
0.16                                    1.6867885
0.17                                    1.5859981
0.18                                    1.3622569
0.19                                    1.4524734
0.2                                     1.4243191
0.21                                    1.505148
0.22                                    1.5773121
0.23                                    1.498779
0.24                                    1.5702916
0.25                                    1.5380283
0.26                                    1.5201311
0.27                                    1.5664955
0.28                                    1.4333932
0.29                                    1.5472604
0.3                                     1.5308432
0.31                                    1.4311999
0.32                                    1.3990407
0.33                                    1.337276
0.34                                    1.4174537
0.35                                    1.4958059
0.36                                    1.3444712
0.37                                    1.4107515
0.38                                    1.5328041
0.39                                    1.3689891
0.4                                     1.539427
0.41                                    1.4354692
0.42                                    1.5341302
0.43                                    1.3958775
0.44                                    1.3200656
0.45                                    1.4088814
0.46                                    1.3194617
0.47                                    1.3707275
0.48                                    1.3857511
0.49                                    1.3502405
0.5                                     1.3917151
0.51                                    1.3517354
0.52                                    1.3581459
0.53                                    1.349749
0.54                                    1.4470514
0.55                                    1.425402
0.56                                    1.4788174
0.57                                    1.3450539
0.58                                    1.472496
0.59                                    1.3824882
0.6                                     1.3928627
0.61                                    1.2680797
0.62                                    1.3647604
0.63                                    1.2769997
0.64                                    1.4773843
0.65                                    1.3996812
0.66                                    1.4051826
0.67                                    1.3777594
0.68                                    1.4795186
0.69                                    1.2844444
0.7                                     1.3792311
0.71                                    1.3853267
0.72                                    1.362993
0.73                                    1.511846
0.74                                    1.3259605
0.75                                    1.3053557
0.76                                    1.2909566
0.77                                    1.3733178
0.78                                    1.2029277
0.79                                    1.2903138
0.8                                     1.3256559
0.81                                    1.3279846
0.82                                    1.3788495
0.83                                    1.3774412
0.84                                    1.4553423
0.85                                    1.3197006
0.86                                    1.3264315
0.87                                    1.3041817
0.88                                    1.2548143
0.89                                    1.3361492
0.9                                     1.2931943
0.91                                    1.328821
0.92                                    1.3799861
0.93                                    1.2523783
0.94                                    1.2425479
0.95                                    1.1598144
0.96                                    1.2187821
0.97                                    1.1067733
0.98                                    1.1708977
0.99                                    1.0439719
1.0                                     0.8150513


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0213928
0.02                                    0.0183606
0.03                                    0.0222396
0.04                                    0.0249513
0.05                                    0.0202399
0.06                                    0.021731
0.07                                    0.0207905
0.08                                    0.0196322
0.09                                    0.020812
0.1                                     0.0185726
0.11                                    0.0187324
0.12                                    0.0170188
0.13                                    0.0219125
0.14                                    0.0206781
0.15                                    0.019929
0.16                                    0.0208166
